Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Outcome Date,Outcome Type,days_stayed
BLACK,WHITE,Spayed,7/29/20,3,7/29/21,NORMAL,STRAY,FIELD,9/5/21,ADOPTION,38
BLACK,,Neutered,7/29/11,12,7/29/21,NORMAL,STRAY,FIELD,10/14/21,ADOPTION,77
BRN TABBY,,Spayed,10/13/21,2,10/13/22,UNDER AGE/WEIGHT,STRAY,OTC,12/24/22,ADOPTION,72
CREAM,,Neutered,9/13/22,1,10/13/22,UNDER AGE/WEIGHT,STRAY,OTC,10/19/22,ADOPTION,6
GRAY TABBY,WHITE,Spayed,3/4/21,2,8/4/21,NORMAL,STRAY,FIELD,12/15/21,ADOPTION,133
ORG TABBY,WHITE,Neutered,5/5/21,2,8/5/21,NORMAL,STRAY,OTC,8/11/21,ADOPTION,6
BLACK,BROWN,Neutered,3/5/20,3,8/5/21,NORMAL,STRAY,OTC,8/12/22,ADOPTION,372
BRN TABBY,,Spayed,8/5/20,3,8/5/21,NORMAL,STRAY,FIELD,2/9/22,ADOPTION,188
TAN,,Neutered,11/13/21,1,11/13/22,NORMAL,STRAY,OTC,3/2/23,ADOPTION,109
BLACK,WHITE,Spayed,8/5/19,4,8/7/21,NORMAL,STRAY,OTC,11/13/21,ADOPTION,98
GRAY,,Neutered,11/11/20,2,11/11/22,NORMAL,STRAY,OTC,7/2/23,ADOPTION,233
WHITE,BLACK,Neutered,12/5/20,2,11/20/22,NORMAL,STRAY,OTC,12/10/22,ADOPTION,20
ORANGE,,Neutered,8/11/20,3,8/11/21,NORMAL,STRAY,OTC,9/3/21,ADOPTION,23
BRN TABBY,,Spayed,3/11/21,2,8/11/21,NORMAL,STRAY,OTC,9/2/21,ADOPTION,22
GRAY,WHITE,Neutered,3/11/21,2,8/11/21,NORMAL,STRAY,OTC,8/21/21,ADOPTION,10
TAN,,Spayed,8/11/14,9,8/11/21,ILL SEVERE,STRAY,FIELD,8/31/21,ADOPTION,20
BLACK,,Neutered,9/16/22,1,11/16/22,NORMAL,STRAY,OTC,2/16/23,ADOPTION,92
GRAY,,Neutered,11/16/19,3,11/16/22,NORMAL,STRAY,FIELD,3/18/23,ADOPTION,122
GRAY,WHITE,Spayed,11/17/19,3,11/17/22,INJURED  MODERATE,STRAY,FIELD,1/19/23,ADOPTION,63
WHITE,GRAY,Neutered,10/21/22,1,11/17/22,ILL MILD,STRAY,FIELD,12/16/22,ADOPTION,29
BLACK,TAN,Neutered,8/9/18,5,8/9/21,NORMAL,OWNER SURRENDER,OTC,8/14/21,ADOPTION,5
BROWN,BLACK,Neutered,11/22/19,3,11/22/22,NORMAL,STRAY,OTC,2/19/23,ADOPTION,89
BLACK,,Neutered,6/6/21,2,8/21/21,NORMAL,STRAY,OTC,9/22/21,ADOPTION,32
GRAY,WHITE,Neutered,6/6/21,2,8/21/21,NORMAL,STRAY,OTC,9/29/21,ADOPTION,39
BLACK,WHITE,Spayed,11/26/20,2,11/22/22,NORMAL,OWNER SURRENDER,FIELD,7/24/23,ADOPTION,244
BLACK,WHITE,Female,2/21/20,3,8/21/21,NORMAL,STRAY,OTC,11/24/21,ADOPTION,95
WHITE,BLACK,Spayed,8/21/20,3,8/21/21,ILL SEVERE,OWNER SURRENDER,FIELD,12/15/21,ADOPTION,116
BROWN,WHITE,Neutered,8/22/18,5,8/25/21,NORMAL,STRAY,,8/20/22,ADOPTION,360
BLACK,,Spayed,12/24/20,2,8/22/21,NORMAL,OWNER SURRENDER,OTC,10/13/21,ADOPTION,52
TORTIE,,Spayed,8/22/20,3,8/22/21,ILL MILD,STRAY,OTC,9/22/21,ADOPTION,31
WHITE,TAN,Spayed,9/19/22,1,11/19/22,NORMAL,STRAY,OTC,11/20/22,ADOPTION,1
GRAY,,Neutered,11/4/22,0,11/27/22,UNDER AGE/WEIGHT,STRAY,OTC,12/2/22,ADOPTION,5
GREEN,RED,Unknown,8/14/20,3,8/14/21,NORMAL,STRAY,FIELD,8/20/21,ADOPTION,6
WHITE,TAN,Spayed,3/15/21,2,8/15/21,NORMAL,STRAY,OTC,9/1/21,ADOPTION,17
UNKNOWN,,Neutered,7/9/21,2,8/24/21,ILL SEVERE,OWNER SURRENDER,OTC,9/16/21,ADOPTION,23
SLVR TABBY,WHITE,Spayed,7/24/21,2,8/24/21,UNDER AGE/WEIGHT,STRAY,FIELD,9/22/21,ADOPTION,29
GRAY,,Neutered,3/3/22,1,12/2/22,NORMAL,STRAY,FIELD,3/19/23,ADOPTION,107
CHOCOLATE,TAN,Neutered,11/30/18,4,11/30/22,NORMAL,STRAY,OTC,12/28/22,ADOPTION,28
BLACK,WHITE,Spayed,3/18/21,2,8/18/21,INJURED  MODERATE,STRAY,FIELD,9/26/21,ADOPTION,39
WHITE,,Spayed,2/7/22,1,12/7/22,NORMAL,STRAY,OTC,12/14/22,ADOPTION,7
GRAY,,Spayed,,,8/18/21,ILL MILD,STRAY,FIELD,9/7/21,ADOPTION,20
BLACK,WHITE,Female,12/4/21,1,12/4/22,NORMAL,OWNER SURRENDER,OTC,3/30/23,ADOPTION,116
BROWN,WHITE,Female,,,12/4/22,NORMAL,OWNER SURRENDER,OTC,3/30/23,ADOPTION,116
BLACK,WHITE,Neutered,10/8/22,1,12/8/22,UNDER AGE/WEIGHT,STRAY,OTC,12/31/22,ADOPTION,23
BLACK,,Spayed,12/8/19,3,12/8/22,NORMAL,STRAY,OTC,12/17/22,ADOPTION,9
WHITE,,Neutered,8/20/19,4,8/20/21,NORMAL,STRAY,OTC,9/1/21,ADOPTION,12
WHITE,,Neutered,5/4/21,2,9/4/21,NORMAL,OWNER SURRENDER,OTC,1/8/22,ADOPTION,126
BLACK,,Neutered,,,9/4/21,ILL MODERATETE,STRAY,OTC,12/15/21,ADOPTION,102
CALICO TAB,,Spayed,5/4/21,2,9/4/21,INJURED  MODERATE,STRAY,FIELD,9/23/21,ADOPTION,19
BLACK,WHITE,Spayed,9/4/20,3,9/5/21,NORMAL,STRAY,OTC,12/15/21,ADOPTION,101
BL BRINDLE,,Spayed,12/11/20,2,12/11/22,NORMAL,STRAY,OTC,2/8/23,ADOPTION,59
GRAY,WHITE,Spayed,9/7/15,8,9/7/21,INJURED  MILD,STRAY,FIELD,9/22/21,ADOPTION,15
GRAY,WHITE,Neutered,6/7/21,2,9/7/21,NORMAL,STRAY,FIELD,10/6/21,ADOPTION,29
WHITE,GRAY,Spayed,2/15/21,2,6/15/21,NORMAL,STRAY,FIELD,6/26/21,ADOPTION,11
GRAY,WHITE,Neutered,11/21/22,0,12/21/22,FRACTIOUS,STRAY,OTC,12/21/22,ADOPTION,0
GRAY,WHITE,Spayed,6/9/19,4,6/16/21,NORMAL,OWNER SURRENDER,OTC,7/8/21,ADOPTION,22
BLACK,BROWN,Neutered,12/14/19,3,12/14/22,NORMAL,STRAY,OTC,12/21/22,ADOPTION,7
GRAY,WHITE,Neutered,4/29/21,2,6/17/21,ILL SEVERE,STRAY,FIELD,7/14/21,ADOPTION,27
GRAY,,Spayed,4/21/22,1,12/21/22,NORMAL,STRAY,OTC,1/7/23,ADOPTION,17
BROWN,WHITE,Spayed,9/22/22,1,12/22/22,NORMAL,STRAY,OTC,12/28/22,ADOPTION,6
GRAY,,Neutered,7/9/21,2,9/9/21,NORMAL,STRAY,FIELD,9/18/21,ADOPTION,9
TAN,,Spayed,9/10/19,4,9/10/21,NORMAL,STRAY,OTC,9/30/21,ADOPTION,20
TAN,,Spayed,12/24/17,5,12/24/22,NORMAL,STRAY,FIELD,3/25/23,ADOPTION,91
GRAY,WHITE,Neutered,9/10/18,5,9/10/21,INJURED  SEVERE,STRAY,FIELD,7/31/22,ADOPTION,324
TAN,,Spayed,12/25/19,3,12/25/22,NORMAL,STRAY,FIELD,10/6/23,ADOPTION,285
TAN,,Spayed,12/25/19,3,12/25/22,NORMAL,STRAY,FIELD,4/1/23,ADOPTION,97
BROWN,WHITE,Spayed,12/31/21,1,12/31/22,INJURED  MILD,STRAY,FIELD,3/22/23,ADOPTION,81
WHITE,BROWN,Neutered,12/31/21,1,12/31/22,NORMAL,STRAY,FIELD,3/29/23,ADOPTION,88
CALICO,,Spayed,5/15/20,3,1/4/23,NORMAL,OWNER SURRENDER,FIELD,2/9/23,ADOPTION,36
GRAY,WHITE,Neutered,1/4/20,3,1/4/23,INJURED  MODERATE,STRAY,FIELD,1/25/23,ADOPTION,21
BLUE,,Spayed,9/11/14,9,9/11/21,NORMAL,OWNER SURRENDER,OTC,10/8/21,ADOPTION,27
BLACK,ORANGE,Male,1/11/22,1,1/11/23,NORMAL,STRAY,OTC,1/21/23,ADOPTION,10
BRN TABBY,,Spayed,1/23/22,1,1/12/23,NORMAL,STRAY,OTC,3/4/23,ADOPTION,51
LI LYNX PT,GRAY,Spayed,1/13/21,2,1/13/23,FRACTIOUS,STRAY,FIELD,4/2/23,ADOPTION,79
GRAY TABBY,,Neutered,9/13/22,1,1/13/23,NORMAL,STRAY,FIELD,1/18/23,ADOPTION,5
TRICOLOR,GRAY,Spayed,1/15/21,2,1/15/23,INJURED  MILD,STRAY,OTC,3/29/23,ADOPTION,73
TRICOLOR,,Neutered,7/31/21,2,9/15/21,NORMAL,STRAY,FIELD,10/2/21,ADOPTION,17
ORG TABBY,,Neutered,1/20/21,2,1/20/23,INJURED  MILD,STRAY,OTC,2/1/23,ADOPTION,12
WHITE,TAN,Neutered,1/21/21,2,1/21/23,NORMAL,STRAY,OTC,7/19/23,ADOPTION,179
CALICO DIL,,Spayed,9/16/18,5,9/16/21,NORMAL,STRAY,OTC,2/17/22,ADOPTION,154
BLACK,WHITE,Neutered,1/21/18,5,1/21/23,NORMAL,WELFARE SEIZED,HOSPITAL,2/8/23,ADOPTION,18
ORANGE,,Spayed,1/22/18,5,1/22/23,INJURED  MODERATE,STRAY,OTC,1/28/23,ADOPTION,6
BROWN,,Neutered,1/23/21,2,1/22/23,NORMAL,STRAY,FIELD,2/5/23,ADOPTION,14
TAN,,Spayed,2/6/22,1,1/22/23,NORMAL,STRAY,OTC,3/29/23,ADOPTION,66
BROWN,WHITE,Neutered,1/23/18,5,1/23/23,NORMAL,STRAY,FIELD,2/8/23,ADOPTION,16
S-T PT,,Spayed,12/21/21,1,12/21/22,NORMAL,STRAY,OTC,2/1/23,ADOPTION,42
BLACK,TAN,Spayed,1/25/21,2,1/25/23,NORMAL,STRAY,FIELD,2/12/23,ADOPTION,18
BLACK,WHITE,Neutered,1/25/18,5,1/25/23,NORMAL,STRAY,FIELD,2/17/23,ADOPTION,23
WHITE,BLACK,Spayed,12/1/19,3,2/1/23,NORMAL,RETURN,ADOPTION,2/5/23,ADOPTION,4
TORTIE DIL,GRAY,Spayed,7/22/21,2,9/22/21,NORMAL,STRAY,OTC,9/23/21,ADOPTION,1
BLACK,,Neutered,9/4/22,1,11/4/22,ILL MILD,STRAY,OTC,12/16/22,ADOPTION,42
ORG TABBY,,Neutered,9/19/20,3,9/19/21,NORMAL,STRAY,FIELD,1/15/22,ADOPTION,118
ORANGE,WHITE,Neutered,9/21/22,1,11/6/22,NORMAL,STRAY,OTC,11/11/22,ADOPTION,5
BROWN,WHITE,Female,7/6/22,1,1/6/23,INJURED  MILD,WILDLIFE,OTC,1/7/23,ADOPTION,1
BLACK,,Neutered,9/1/21,2,9/23/21,UNDER AGE/WEIGHT,STRAY,FIELD,12/16/21,ADOPTION,84
BRN TABBY,WHITE,Spayed,9/23/16,7,9/23/21,NORMAL,STRAY,FIELD,1/15/22,ADOPTION,114
CALICO,,Spayed,10/2/16,7,10/1/21,NORMAL,STRAY,FIELD,12/8/21,ADOPTION,68
BROWN,,Neutered,,,1/15/23,NORMAL,STRAY,OTC,1/25/23,ADOPTION,10
ORANGE,WHITE,Neutered,8/25/21,2,10/2/21,NORMAL,RETURN,ADOPTION,10/27/21,ADOPTION,25
TAN,WHEAT,Neutered,1/18/16,7,1/18/23,NORMAL,STRAY,OTC,2/19/23,ADOPTION,32
GRAY,WHITE,Neutered,12/6/20,2,10/4/21,INJURED  MODERATE,STRAY,FIELD,10/22/21,ADOPTION,18
BRN TABBY,WHITE,Spayed,1/18/19,4,1/18/23,ILL MODERATETE,STRAY,OTC,2/26/23,ADOPTION,39
BLACK,CREAM,Spayed,,,1/19/23,NORMAL,STRAY,OTC,1/25/23,ADOPTION,6
BLACK,WHITE,Spayed,4/6/21,2,10/6/21,NORMAL,OWNER SURRENDER,,2/12/22,ADOPTION,129
GREEN,RED,Unknown,,,1/27/23,NORMAL,WILDLIFE,FIELD,2/2/23,ADOPTION,6
BLACK,WHITE,Neutered,9/25/14,9,9/25/21,NORMAL,STRAY,FIELD,11/4/21,ADOPTION,40
BROWN,,Neutered,1/28/21,2,1/28/23,NORMAL,STRAY,FIELD,7/22/23,ADOPTION,175
BLACK,,Neutered,2/4/21,2,2/4/23,NORMAL,STRAY,FIELD,2/26/23,ADOPTION,22
RED,WHITE,Neutered,10/9/18,5,10/9/21,NORMAL,STRAY,OTC,1/16/22,ADOPTION,99
BLACK,WHITE,Neutered,8/29/22,1,12/29/22,NORMAL,STRAY,OTC,1/5/23,ADOPTION,7
WHITE,TAN,Spayed,8/29/22,1,12/29/22,NORMAL,STRAY,OTC,4/5/23,ADOPTION,97
ORG TABBY,,Neutered,4/29/21,2,9/29/21,NORMAL,STRAY,OTC,4/1/22,ADOPTION,184
BLACK,TAN,Neutered,11/15/17,5,9/29/21,NORMAL,OWNER SURRENDER,OTC,1/4/23,ADOPTION,462
BRN TABBY,,Neutered,2/12/18,5,2/12/23,ILL SEVERE,STRAY,FIELD,4/5/23,ADOPTION,52
BROWN,BLACK,Spayed,10/21/20,3,10/21/21,NORMAL,STRAY,FIELD,11/10/21,ADOPTION,20
WHITE,,Spayed,10/22/19,4,10/22/21,NORMAL,STRAY,FIELD,11/3/21,ADOPTION,12
BROWN,WHITE,Spayed,2/15/22,1,2/15/23,NORMAL,OWNER SURRENDER,OTC,3/11/23,ADOPTION,24
GRAY TABBY,,Neutered,2/18/22,1,2/15/23,INJURED  MILD,STRAY,OTC,3/19/23,ADOPTION,32
ORG TABBY,,Spayed,10/14/14,9,10/14/21,NORMAL,STRAY,OTC,12/17/21,ADOPTION,64
BLACK,,Male,6/14/21,2,10/14/21,NORMAL,STRAY,OTC,10/20/21,ADOPTION,6
WHITE,BRN TABBY,Neutered,10/1/21,2,10/14/21,ILL MODERATETE,STRAY,FIELD,12/12/21,ADOPTION,59
BLACK,WHITE,Spayed,10/1/21,2,10/16/21,UNDER AGE/WEIGHT,STRAY,OTC,2/27/22,ADOPTION,134
BROWN,,Spayed,9/16/22,1,2/16/23,NORMAL,STRAY,OTC,3/16/23,ADOPTION,28
BLACK,,Neutered,9/22/21,2,10/22/21,ILL MILD,STRAY,OTC,12/15/21,ADOPTION,54
CALICO TAB,GRAY,Spayed,8/20/21,2,10/23/21,UNDER AGE/WEIGHT,STRAY,OTC,11/10/21,ADOPTION,18
BLONDE,WHITE,Female,,,10/25/21,NORMAL,STRAY,FIELD,1/23/22,ADOPTION,90
CALICO TAB,,Female,8/10/21,2,10/25/21,NORMAL,STRAY,FIELD,10/28/21,ADOPTION,3
TAN,,Neutered,2/11/21,2,2/23/23,NORMAL,RETURN,ADOPTION,3/12/23,ADOPTION,17
BLACK,,Spayed,2/20/17,6,2/18/23,INJURED  MILD,STRAY,OTC,3/1/23,ADOPTION,11
GRAY,WHITE,Neutered,11/2/18,4,11/2/21,NORMAL,STRAY,FIELD,2/12/22,ADOPTION,102
CALICO,,Spayed,2/3/23,0,2/18/23,UNDER AGE/WEIGHT,STRAY,ABAN FIELD,7/7/23,ADOPTION,139
ORANGE,WHITE,Neutered,2/3/23,0,2/18/23,UNDER AGE/WEIGHT,STRAY,ABAN FIELD,4/13/23,ADOPTION,54
BLACK,WHITE,Neutered,9/28/21,2,10/28/21,UNDER AGE/WEIGHT,STRAY,OTC,11/3/21,ADOPTION,6
BRN TABBY,WHITE,Spayed,9/28/21,2,10/28/21,UNDER AGE/WEIGHT,STRAY,OTC,11/3/21,ADOPTION,6
GRAY,BROWN,Spayed,5/3/15,8,10/28/21,INJURED  MILD,OWNER SURRENDER,OTC,1/19/22,ADOPTION,83
BLACK,,Neutered,11/12/12,10,10/28/21,NORMAL,WELFARE SEIZED,HOSPITAL,1/9/22,ADOPTION,73
BLACK,,Spayed,9/16/15,8,2/26/23,NORMAL,STRAY,OTC,3/16/23,ADOPTION,18
TORTIE,,Spayed,8/29/21,2,10/29/21,NORMAL,STRAY,OTC,1/8/22,ADOPTION,71
CALICO,,Spayed,8/31/13,10,8/31/21,ILL MILD,STRAY,FIELD,10/13/21,ADOPTION,43
BLACK,,Neutered,3/1/21,2,3/1/23,NORMAL,STRAY,OTC,4/21/23,ADOPTION,51
BR BRINDLE,WHITE,Spayed,3/2/20,3,3/2/23,NORMAL,STRAY,OTC,4/1/23,ADOPTION,30
BRN TABBY,,Spayed,5/1/21,2,8/31/21,NORMAL,STRAY,FIELD,1/9/22,ADOPTION,131
GRAY TABBY,,Spayed,8/23/18,5,3/2/23,NORMAL,OWNER SURRENDER,OTC,3/22/23,ADOPTION,20
GRAY,,Neutered,5/1/21,2,8/31/21,NORMAL,STRAY,FIELD,12/30/21,ADOPTION,121
TAN,,Neutered,12/31/20,2,8/31/21,NORMAL,OWNER SURRENDER,FIELD,1/17/23,ADOPTION,504
TAN,,Neutered,3/3/17,6,3/3/23,NORMAL,STRAY,OTC,5/19/23,ADOPTION,77
ORG TABBY,WHITE,Neutered,9/1/19,4,9/1/21,INJURED  MILD,OWNER SURRENDER,FIELD,9/30/21,ADOPTION,29
BLACK,BROWN,Spayed,12/3/22,0,3/3/23,NORMAL,OWNER SURRENDER,OTC,3/11/23,ADOPTION,8
BLACK,WHITE,Neutered,9/1/20,3,9/1/21,NORMAL,STRAY,OTC,10/6/21,ADOPTION,35
BROWN,WHITE,Neutered,9/1/20,3,9/1/21,NORMAL,STRAY,OTC,10/13/21,ADOPTION,42
CREAM,,Spayed,10/20/09,14,9/1/21,NORMAL,CONFISCATE,OWNER DIED,10/14/21,ADOPTION,43
BLACK,TAN,Neutered,3/4/21,2,3/4/23,NORMAL,STRAY,FIELD,3/19/23,ADOPTION,15
BLACK,CREAM,Spayed,5/30/20,3,9/2/21,NORMAL,OWNER SURRENDER,OTC,9/9/21,ADOPTION,7
GRAY,BLACK,Spayed,11/14/21,1,3/4/23,NORMAL,RETURN,ADOPTION,3/24/23,ADOPTION,20
BLACK,WHITE,Spayed,1/3/19,4,11/12/21,NORMAL,STRAY,OTC,1/8/22,ADOPTION,57
CALICO,,Spayed,9/12/21,2,11/12/21,NORMAL,STRAY,OTC,11/22/21,ADOPTION,10
WHITE,BLACK,Neutered,1/1/19,4,3/7/23,NORMAL,STRAY,FIELD,5/17/23,ADOPTION,71
BLACK,,Neutered,9/13/21,2,11/13/21,ILL MILD,STRAY,OTC,11/24/21,ADOPTION,11
BLACK,WHITE,Neutered,9/16/09,14,9/2/21,NORMAL,OWNER SURRENDER,OTC,9/16/21,ADOPTION,14
BROWN,,Spayed,9/5/22,1,3/5/23,ILL SEVERE,STRAY,FIELD,7/28/23,ADOPTION,145
BROWN,WHITE,Spayed,9/3/20,3,9/2/21,NORMAL,STRAY,OTC,10/6/21,ADOPTION,34
GRAY,WHITE,Neutered,8/12/21,2,9/2/21,ILL SEVERE,STRAY,OTC,11/13/21,ADOPTION,72
TAN,BLACK,Neutered,9/21/18,5,9/2/21,NORMAL,STRAY,OTC,9/23/21,ADOPTION,21
GRAY,,Neutered,8/10/22,1,3/10/23,NORMAL,STRAY,OTC,4/9/23,ADOPTION,30
GRAY TABBY,,Neutered,3/10/16,7,3/10/23,INJURED  MODERATE,STRAY,OTC,5/10/23,ADOPTION,61
BRN TABBY,,Neutered,3/17/22,1,3/11/23,ILL MILD,STRAY,OTC,3/17/23,ADOPTION,6
ORG TABBY,,Neutered,3/17/21,2,3/15/23,NORMAL,STRAY,OTC,3/23/23,ADOPTION,8
BRN TABBY,,Neutered,11/24/13,9,11/24/21,ILL MODERATETE,STRAY,OTC,1/22/22,ADOPTION,59
BROWN,WHITE,Neutered,12/15/22,0,3/15/23,NORMAL,STRAY,OTC,4/2/23,ADOPTION,18
GRAY,,Neutered,3/15/21,2,3/15/23,NORMAL,STRAY,OTC,3/18/23,ADOPTION,3
RED,WHITE,Spayed,11/16/14,8,11/16/21,NORMAL,STRAY,FIELD,3/8/23,ADOPTION,477
BRN TABBY,,Neutered,5/3/15,8,11/16/21,NORMAL,OWNER SURRENDER,,12/11/21,ADOPTION,25
TRICOLOR,,Spayed,11/17/19,3,11/17/21,ILL MODERATETE,OWNER SURRENDER,OTC,2/19/22,ADOPTION,94
TAN,WHITE,Neutered,11/19/18,4,11/19/21,NORMAL,STRAY,FIELD,3/2/22,ADOPTION,103
BLUE,WHITE,Male,11/19/15,7,11/19/21,BEHAVIOR  MODERATE,STRAY,FIELD,8/3/22,ADOPTION,257
BLACK,GRAY,Unknown,,,12/1/21,NORMAL,CONFISCATE,OWNER DIED,12/16/21,ADOPTION,15
ORANGE,BLACK,Unknown,,,12/1/21,NORMAL,CONFISCATE,OWNER DIED,12/16/21,ADOPTION,15
BLACK,BROWN,Spayed,5/24/22,1,3/21/23,NORMAL,STRAY,OTC,4/14/23,ADOPTION,24
BROWN,BLACK,Neutered,2/4/20,3,12/4/21,BEHAVIOR  MILD,STRAY,OTC,2/5/22,ADOPTION,63
GRAY,WHITE,Spayed,3/17/20,3,3/17/23,NORMAL,STRAY,OTC,5/6/23,ADOPTION,50
GRAY,WHITE,Neutered,12/7/18,4,3/17/23,NORMAL,OWNER SURRENDER,FIELD,3/18/23,ADOPTION,1
RED,,Neutered,3/18/21,2,3/17/23,NORMAL,STRAY,OTC,4/1/23,ADOPTION,15
TAN,,Neutered,3/25/22,1,3/17/23,NORMAL,STRAY,OTC,3/25/23,ADOPTION,8
CALICO,,Male,,,12/5/21,NORMAL,STRAY,FIELD,2/3/22,ADOPTION,60
BLACK,WHITE,Spayed,8/18/13,10,3/26/23,I/I REPORT,OWNER SURRENDER,OTC,8/27/23,ADOPTION,154
BLACK,WHITE,Spayed,,,3/22/23,NORMAL,STRAY,OTC,3/25/23,ADOPTION,3
BLACK,,Neutered,12/8/20,2,12/9/21,NORMAL,STRAY,OTC,12/29/21,ADOPTION,20
GRAY,WHITE,Spayed,12/16/19,3,12/16/21,NORMAL,STRAY,FIELD,3/5/22,ADOPTION,79
BLACK,WHITE,Neutered,12/11/15,7,12/11/21,ILL MODERATETE,STRAY,OTC,8/18/22,ADOPTION,250
UNKNOWN,,Neutered,,,12/12/21,NORMAL,STRAY,OTC,2/17/22,ADOPTION,67
CALICO,,Spayed,4/8/15,8,3/29/23,NORMAL,OWNER SURRENDER,FIELD,4/19/23,ADOPTION,21
GRAY,,Neutered,3/29/18,5,3/29/23,NORMAL,OWNER SURRENDER,FIELD,4/26/23,ADOPTION,28
WHITE,BLACK,Spayed,12/29/16,6,12/29/21,NORMAL,STRAY,OTC,1/21/22,ADOPTION,23
CREAM,WHITE,Neutered,3/26/23,0,3/29/23,UNDER AGE/WEIGHT,STRAY,OTC,5/6/23,ADOPTION,38
BLACK,,Neutered,12/31/15,7,12/29/21,ILL MODERATETE,STRAY,FIELD,1/28/22,ADOPTION,30
BLACK,WHITE,Spayed,12/30/20,2,12/29/21,NORMAL,STRAY,FIELD,1/12/22,ADOPTION,14
BLACK,WHITE,Unknown,,,12/19/21,NORMAL,STRAY,FIELD,12/29/21,ADOPTION,10
BLACK,WHITE,Unknown,,,12/19/21,NORMAL,STRAY,FIELD,12/29/21,ADOPTION,10
BLACK,,Neutered,3/29/18,5,3/29/23,NORMAL,OWNER SURRENDER,FIELD,4/28/23,ADOPTION,30
GRAY TABBY,,Spayed,10/22/21,2,12/22/21,ILL MILD,STRAY,OTC,1/8/22,ADOPTION,17
BROWN,WHITE,Neutered,3/30/20,3,3/30/23,NORMAL,STRAY,OTC,4/9/23,ADOPTION,10
BLACK,WHITE,Spayed,3/21/15,8,3/31/23,NORMAL,OWNER SURRENDER,OTC,8/9/23,ADOPTION,131
BROWN,WHITE,Unknown,12/31/21,1,12/8/21,UNDER AGE/WEIGHT,STRAY,OTC,1/5/22,ADOPTION,28
BROWN,WHITE,Unknown,12/31/21,1,12/8/21,UNDER AGE/WEIGHT,STRAY,OTC,1/5/22,ADOPTION,28
TAN,,Neutered,2/11/21,2,3/31/23,NORMAL,RETURN,ADOPTION,6/3/23,ADOPTION,64
BROWN,BLACK,Neutered,3/2/21,2,1/2/22,NORMAL,STRAY,OTC,1/12/22,ADOPTION,10
YELLOW,ORANGE,Unknown,12/23/20,2,1/2/22,NORMAL,STRAY,OTC,1/5/22,ADOPTION,3
BLACK,WHITE,Spayed,10/2/22,1,4/2/23,UNDER AGE/WEIGHT,STRAY,OTC,4/8/23,ADOPTION,6
BLACK,,Neutered,4/6/20,3,4/6/23,ILL SEVERE,STRAY,FIELD,6/9/23,ADOPTION,64
BLACK,WHITE,Neutered,12/25/18,4,12/25/21,NORMAL,STRAY,FIELD,3/3/22,ADOPTION,68
TAN,BLACK,Neutered,4/6/18,5,4/6/23,NORMAL,STRAY,FIELD,9/24/23,ADOPTION,171
CREAM,,Neutered,4/5/22,1,4/5/23,I/I REPORT,STRAY,OTC,4/13/23,ADOPTION,8
GRAY TABBY,,Neutered,1/12/20,3,1/7/22,INJURED  MODERATE,STRAY,FIELD,1/29/22,ADOPTION,22
BLACK,WHITE,Male,3/5/23,0,4/5/23,FRACTIOUS,STRAY,OTC,5/31/23,ADOPTION,56
ORANGE,,Neutered,1/7/14,9,1/7/22,NORMAL,STRAY,OTC,4/30/22,ADOPTION,113
BLACK,WHITE,Neutered,8/3/19,4,4/6/23,I/I REPORT,RETURN,ADOPTION,8/31/23,ADOPTION,147
WHITE,,Spayed,4/8/22,1,4/8/23,NORMAL,STRAY,OTC,4/19/23,ADOPTION,11
TAN,BROWN,Neutered,3/29/14,9,1/22/22,NORMAL,OWNER SURRENDER,OTC,6/30/22,ADOPTION,159
TAN,,Neutered,4/9/19,4,4/9/23,INJURED  MODERATE,OWNER SURRENDER,OTC,5/5/23,ADOPTION,26
BLACK,CREAM,Spayed,3/22/21,2,4/9/23,NORMAL,RETURN,ADOPTION,4/9/23,ADOPTION,0
GRAY TABBY,WHITE,Spayed,10/12/21,2,11/2/21,UNDER AGE/WEIGHT,WELFARE SEIZED,POLICE,12/4/21,ADOPTION,32
BLACK,TAN,Neutered,4/10/22,1,4/10/23,INJURED  MILD,STRAY,FIELD,4/30/23,ADOPTION,20
BLACK,,Spayed,2/9/20,3,11/3/21,NORMAL,STRAY,OTC,2/10/22,ADOPTION,99
BRN TABBY,WHITE,Neutered,4/11/21,2,4/11/23,INJURED  SEVERE,STRAY,FIELD,9/15/23,ADOPTION,157
BLACK,WHITE,Spayed,10/4/21,2,11/4/21,UNDER AGE/WEIGHT,STRAY,FIELD,12/4/21,ADOPTION,30
BLACK,,Spayed,4/12/22,1,4/12/23,ILL MILD,STRAY,OTC,4/16/23,ADOPTION,4
SNOWSHOE,,Neutered,10/4/21,2,11/4/21,UNDER AGE/WEIGHT,STRAY,FIELD,11/27/21,ADOPTION,23
BROWN,,Neutered,4/12/19,4,4/12/23,I/I REPORT,OWNER SURRENDER,OTC,6/4/23,ADOPTION,53
TAN,WHITE,Spayed,10/13/21,2,4/13/23,NORMAL,STRAY,OTC,6/17/23,ADOPTION,65
BROWN,,Spayed,8/12/17,6,11/6/21,NORMAL,STRAY,FIELD,6/11/22,ADOPTION,217
