Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed
BLACK,Neutered,0,6/11/23,ILL MILD,STRAY,116
BLACK,Neutered,7,3/21/18,NORMAL,STRAY,115
BRN TABBY,Female,4,5/8/19,NORMAL,STRAY,115
BLACK,Spayed,8,8/8/19,FRACTIOUS,OWNER SURRENDER,115
BLACK,Spayed,0,5/7/23,NORMAL,STRAY,115
BLACK,Neutered,10,9/6/18,FRACTIOUS,STRAY,114
BRN TABBY,Spayed,7,9/23/21,NORMAL,STRAY,114
BLACK,Neutered,5,5/18/22,ILL SEVERE,STRAY,114
BRN TABBY,Neutered,0,5/10/23,NORMAL,STRAY,114
ORG TABBY,Neutered,6,9/21/17,FERAL,STRAY,113
BLACK,Neutered,10,9/7/19,NORMAL,STRAY,113
BRN TABBY,Neutered,3,6/23/20,NORMAL,STRAY,113
ORG TABBY,Neutered,2,4/15/21,UNDER AGE/WEIGHT,STRAY,113
BLACK,Spayed,2,4/15/21,UNDER AGE/WEIGHT,STRAY,113
FLAME PT,Neutered,2,4/15/21,UNDER AGE/WEIGHT,STRAY,113
ORANGE,Neutered,9,1/7/22,NORMAL,STRAY,113
WHITE,Neutered,7,3/5/22,INJURED  SEVERE,STRAY,113
BLACK,Spayed,1,10/19/22,NORMAL,STRAY,113
CALICO,Female,1,10/19/22,NORMAL,STRAY,113
GRAY TABBY,Spayed,1,10/19/22,NORMAL,STRAY,113
CALICO,Female,1,10/19/22,NORMAL,STRAY,113
CRM TABBY,Neutered,6,10/5/17,NORMAL,STRAY,112
BRN TABBY,Spayed,6,5/31/18,NORMAL,STRAY,112
BLACK,Neutered,4,6/26/19,NORMAL,STRAY,112
BRN TABBY,Neutered,4,6/26/19,NORMAL,STRAY,112
ORG TABBY,Neutered,4,7/31/19,NORMAL,STRAY,112
BRN TABBY,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,112
SEAL PT,Male,2,6/11/21,NORMAL,STRAY,112
BLACK,Spayed,2,3/5/22,NORMAL,STRAY,112
GRAY TABBY,Neutered,2,5/31/23,INJURED  MODERATE,STRAY,112
BRN TABBY,Spayed,7,11/7/18,NORMAL,STRAY,111
WHITE,Spayed,4,7/11/19,NORMAL,STRAY,111
BLACK,Female,3,6/2/20,UNDER AGE/WEIGHT,STRAY,111
BRN TABBY,Neutered,2,8/25/21,UNDER AGE/WEIGHT,STRAY,111
BLACK,Male,1,12/3/22,NORMAL,RETURN,111
CALICO,Spayed,0,4/30/23,UNDER AGE/WEIGHT,STRAY,111
BLACK,Female,7,7/14/17,NORMAL,STRAY,110
GRAY,Spayed,8,2/25/19,NORMAL,STRAY,110
BLACK,Neutered,4,9/8/19,NORMAL,STRAY,110
GRAY TABBY,Spayed,2,4/30/21,NORMAL,STRAY,110
ORG TABBY,Neutered,3,9/12/22,FRACTIOUS,OWNER SURRENDER,110
BRN TABBY,Neutered,7,1/30/18,NORMAL,STRAY,109
ORG TABBY,Female,5,8/26/18,NORMAL,STRAY,109
BLACK,Male,5,10/6/18,NORMAL,STRAY,109
BRN TABBY,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,109
BLACK,Spayed,5,3/29/23,NORMAL,OWNER SURRENDER,109
BLACK,Neutered,1,4/8/23,ILL MODERATETE,OWNER SURRENDER,109
BLACK,Spayed,9,12/30/17,NORMAL,STRAY,108
BLACK,Neutered,6,5/15/19,NORMAL,STRAY,108
BLACK,Male,4,9/16/19,UNDER AGE/WEIGHT,STRAY,108
LYNX PT,Spayed,13,11/17/19,NORMAL,OWNER SURRENDER,108
LYNX PT,Neutered,13,12/15/21,ILL MILD,STRAY,108
BLACK,Neutered,0,7/2/23,UNDER AGE/WEIGHT,STRAY,108
GRAY,Neutered,11,7/19/19,NORMAL,OWNER SURRENDER,107
BRN TABBY,Spayed,7,9/25/19,NORMAL,STRAY,107
ORG TABBY,Spayed,3,3/3/21,NORMAL,STRAY,107
BRN TABBY,Spayed,0,6/26/23,ILL MILD,STRAY,107
GRAY,Neutered,7,6/27/18,NORMAL,STRAY,106
CREAM,Neutered,3,10/26/22,NORMAL,STRAY,106
ORG TABBY,Neutered,3,10/26/22,NORMAL,STRAY,106
CREAM,Male,4,5/18/19,UNDER AGE/WEIGHT,STRAY,105
BLACK,Neutered,4,5/25/19,FRACTIOUS,STRAY,105
BLACK,Neutered,4,6/29/19,NORMAL,STRAY,105
BLACK,Spayed,4,7/25/19,NORMAL,STRAY,105
ORANGE,Neutered,6,8/30/19,NORMAL,OWNER SURRENDER,105
BLACK,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,105
WHITE,Neutered,4,10/5/19,UNDER AGE/WEIGHT,STRAY,105
BLACK,Neutered,2,9/5/21,NORMAL,STRAY,105
BLACK,Neutered,1,4/24/22,NORMAL,STRAY,105
CHOC PT,Neutered,5,4/24/22,ILL SEVERE,STRAY,105
BRN TABBY,Female,5,12/6/17,UNDER AGE/WEIGHT,STRAY,104
BLACK,Spayed,2,5/23/21,UNDER AGE/WEIGHT,STRAY,104
ORG TABBY,Spayed,2,7/16/21,UNDER AGE/WEIGHT,STRAY,104
BLACK,Neutered,2,9/16/21,UNDER AGE/WEIGHT,STRAY,104
BRN TABBY,Spayed,1,4/28/22,UNDER AGE/WEIGHT,STRAY,104
BLACK,Neutered,3,5/5/22,INJURED  MILD,STRAY,104
BLACK,Spayed,1,5/13/22,NORMAL,STRAY,104
BLACK,Neutered,0,6/25/23,ILL MILD,STRAY,104
BLACK,Neutered,0,7/13/23,NORMAL,STRAY,104
BRN TABBY,Spayed,0,7/13/23,NORMAL,STRAY,104
BLACK,Neutered,11,3/24/17,ILL SEVERE,STRAY,103
GRAY TABBY,Neutered,9,10/1/17,INJURED  MILD,STRAY,103
TORTIE,Spayed,12,12/22/17,NORMAL,STRAY,103
BLACK,Neutered,5,10/4/19,NORMAL,STRAY,103
BRN TABBY,Female,4,11/18/19,NORMAL,STRAY,103
BLACK,Neutered,4,8/18/20,NORMAL,STRAY,103
CALICO,Spayed,2,7/30/21,UNDER AGE/WEIGHT,STRAY,103
BLK TABBY,Neutered,4,9/3/21,NORMAL,STRAY,103
BRN TABBY,Neutered,4,9/9/22,INJURED  MILD,STRAY,103
GRAY,Spayed,1,6/24/23,I/I REPORT,STRAY,103
BRN TABBY,Female,5,6/17/18,NORMAL,STRAY,102
BLACK,Male,5,9/2/18,NORMAL,STRAY,102
BRN TABBY,Neutered,5,9/2/18,NORMAL,STRAY,102
BRN TABBY,Spayed,4,9/25/19,NORMAL,STRAY,102
BRN TABBY,Neutered,4,10/18/19,NORMAL,STRAY,102
BLACK,Spayed,13,11/24/19,NORMAL,OWNER SURRENDER,102
SNOWSHOE,Spayed,10,5/7/21,NORMAL,OWNER SURRENDER,102
BLACK,Neutered,2,5/23/21,UNDER AGE/WEIGHT,STRAY,102
BLACK,Spayed,2,11/7/21,NORMAL,STRAY,102
LYNX PT,Spayed,1,5/22/22,INJURED  MILD,STRAY,102
TORTIE,Spayed,1,5/6/23,NORMAL,STRAY,102
ORG TABBY,Neutered,2,7/3/23,INJURED  MODERATE,STRAY,102
TORTIE,Spayed,4,4/17/19,UNDER AGE/WEIGHT,STRAY,101
BLACK,Spayed,11,11/16/19,NORMAL,STRAY,101
GRAY TABBY,Male,3,10/14/20,UNDER AGE/WEIGHT,STRAY,101
SEAL PT,Male,3,10/14/20,UNDER AGE/WEIGHT,STRAY,101
BLACK,Spayed,3,9/5/21,NORMAL,STRAY,101
BLACK,Spayed,2,7/16/23,INJURED  MILD,STRAY,101
CALICO,Spayed,8,5/10/17,NORMAL,STRAY,100
BLACK,Neutered,6,8/6/17,UNDER AGE/WEIGHT,STRAY,100
GRAY,Neutered,5,6/6/18,NORMAL,STRAY,100
CALICO,Spayed,4,9/10/19,NORMAL,STRAY,100
CALICO TAB,Spayed,4,9/10/19,NORMAL,STRAY,100
GRAY TABBY,Spayed,2,4/21/21,UNDER AGE/WEIGHT,STRAY,100
TORTIE,Spayed,1,9/26/22,NORMAL,STRAY,100
BLACK,Neutered,6,9/13/17,UNDER AGE/WEIGHT,STRAY,99
ORANGE,Neutered,11,6/13/18,NORMAL,OWNER SURRENDER,99
BRN TABBY,Female,5,9/22/18,NORMAL,STRAY,99
BRN TABBY,Spayed,8,11/3/18,NORMAL,STRAY,99
GRAY,Neutered,4,7/5/19,NORMAL,STRAY,99
BLACK,Neutered,4,10/18/19,NORMAL,STRAY,99
BRN TABBY,Neutered,8,1/27/21,FRACTIOUS,WELFARE SEIZED,99
TRICOLOR,Spayed,4,9/6/22,ILL MODERATETE,STRAY,99
ORG TABBY,Spayed,2,10/15/22,INJURED  MODERATE,STRAY,99
BLACK,Neutered,1,11/2/22,UNDER AGE/WEIGHT,STRAY,99
BLACK,Spayed,1,11/2/22,UNDER AGE/WEIGHT,STRAY,99
TORTIE,Spayed,19,2/23/18,NORMAL,OWNER SURRENDER,98
GRAY TABBY,Spayed,5,5/16/18,FRACTIOUS,STRAY,98
GRAY,Neutered,8,3/13/19,NORMAL,STRAY,98
TORTIE,Spayed,4,5/25/19,FRACTIOUS,STRAY,98
TORTIE,Spayed,4,5/25/19,FRACTIOUS,STRAY,98
BRN TABBY,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,98
BLACK,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,98
CALICO,Spayed,4,11/9/19,NORMAL,STRAY,98
GRAY TABBY,Spayed,3,7/25/20,NORMAL,STRAY,98
GRAY,Neutered,9,10/17/20,NORMAL,STRAY,98
BLACK,Neutered,2,4/21/21,UNDER AGE/WEIGHT,STRAY,98
GRAY,Spayed,2,6/6/21,NORMAL,STRAY,98
GRAY,Spayed,2,6/9/21,UNDER AGE/WEIGHT,STRAY,98
BLACK,Spayed,2,6/9/21,UNDER AGE/WEIGHT,STRAY,98
ORANGE,Neutered,13,9/8/21,NORMAL,STRAY,98
BLACK,Spayed,1,4/3/22,UNDER AGE/WEIGHT,STRAY,98
WHITE,Spayed,1,4/3/22,UNDER AGE/WEIGHT,STRAY,98
GRAY,Spayed,3,4/29/22,BEHAVIOR  MODERATE,OWNER SURRENDER,98
BRN TABBY,Neutered,2,6/5/22,BEHAVIOR  MODERATE,OWNER SURRENDER,98
SEAL,Spayed,3,10/5/22,NORMAL,OWNER SURRENDER,98
ORANGE,Neutered,3,4/29/23,INJURED  MODERATE,STRAY,98
GRAY,Neutered,2,2/14/22,NORMAL,OWNER SURRENDER,97
GRAY,Spayed,1,3/31/22,UNDER AGE/WEIGHT,STRAY,97
BRN TABBY,Spayed,1,3/31/22,UNDER AGE/WEIGHT,STRAY,97
BLACK,Spayed,1,5/22/22,UNDER AGE/WEIGHT,STRAY,97
GRAY TABBY,Spayed,0,4/1/23,UNDER AGE/WEIGHT,STRAY,97
GRAY,Neutered,9,7/1/23,ILL MILD,STRAY,97
WHITE,Neutered,8,7/9/23,INJURED  SEVERE,STRAY,97
ORG TABBY,Neutered,6,10/8/17,NORMAL,STRAY,96
BRN TABBY,Female,5,10/19/18,NORMAL,STRAY,96
BLACK,Female,5,10/19/18,NORMAL,STRAY,96
BRN TABBY,Spayed,5,10/4/19,NORMAL,OWNER SURRENDER,96
CALICO,Spayed,4,10/19/19,NORMAL,STRAY,96
ORG TABBY,Neutered,4,11/9/19,NORMAL,STRAY,96
BLACK,Neutered,1,4/2/22,UNDER AGE/WEIGHT,STRAY,96
SEAL PT,Spayed,1,4/2/22,UNDER AGE/WEIGHT,STRAY,96
ORANGE,Neutered,3,7/16/22,NORMAL,STRAY,96
ORG TABBY,Spayed,5,9/12/18,NORMAL,STRAY,95
BLACK,Neutered,7,4/23/19,INJURED  SEVERE,STRAY,95
BRN TABBY,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,95
CALICO,Spayed,4,11/17/19,NORMAL,STRAY,95
BLACK,Spayed,2,11/14/21,NORMAL,STRAY,95
TORTIE,Spayed,2,4/13/22,NORMAL,OWNER SURRENDER,95
TAN,Female,18,4/2/17,NORMAL,OWNER SURRENDER,94
GRAY,Neutered,6,9/2/18,NORMAL,OWNER SURRENDER,94
GRAY,Spayed,15,9/16/18,NORMAL,STRAY,94
ORANGE,Spayed,13,10/21/18,NORMAL,OWNER SURRENDER,94
BLACK,Neutered,4,11/24/19,NORMAL,STRAY,94
TRICOLOR,Spayed,3,11/17/21,ILL MODERATETE,OWNER SURRENDER,94
GRAY,Spayed,4,5/1/22,NORMAL,WELFARE SEIZED,94
WHITE,Spayed,3,8/10/22,ILL MILD,STRAY,94
BLACK,Neutered,1,10/16/22,NORMAL,STRAY,94
BRN TABBY,Neutered,5,5/16/21,INJURED  SEVERE,STRAY,93
BLACK,Spayed,0,7/6/23,I/I REPORT,STRAY,93
BRN TABBY,Neutered,0,7/6/23,I/I REPORT,STRAY,93
BLACK,Male,6,12/21/18,FRACTIOUS,STRAY,92
BRN TABBY,Spayed,6,9/7/19,NORMAL,STRAY,92
BRN TABBY,Neutered,4,10/5/19,UNDER AGE/WEIGHT,STRAY,92
BRN TABBY,Spayed,4,10/18/19,NORMAL,STRAY,92
BLACK,Neutered,2,5/4/21,UNDER AGE/WEIGHT,STRAY,92
WHITE,Spayed,9,11/20/21,ILL MODERATETE,STRAY,92
TORTIE,Spayed,10,9/7/22,INJURED  MILD,STRAY,92
BLACK,Neutered,1,11/16/22,NORMAL,STRAY,92
BLACK,Male,1,11/16/22,NORMAL,STRAY,92
BLACK,Neutered,0,5/17/23,UNDER AGE/WEIGHT,STRAY,92
BRN TABBY,Female,5,8/29/18,NORMAL,STRAY,91
BRN TABBY,Female,8,9/18/18,NORMAL,STRAY,91
BLACK,Male,5,9/23/18,NORMAL,OWNER SURRENDER,91
ORG TABBY,Neutered,6,10/4/18,FRACTIOUS,OWNER SURRENDER,91
GRAY TABBY,Female,4,5/17/19,UNDER AGE/WEIGHT,STRAY,91
ORG TABBY,Neutered,4,7/24/19,NORMAL,STRAY,91
GRAY TABBY,Spayed,2,4/21/21,UNDER AGE/WEIGHT,STRAY,91
BLACK,Neutered,5,6/3/21,NORMAL,CONFISCATE,91
WHITE,Spayed,2,9/4/21,UNDER AGE/WEIGHT,STRAY,91
TORTIE,Spayed,2,8/31/22,NORMAL,OWNER SURRENDER,91
GRAY TABBY,Neutered,1,9/21/22,INJURED  MODERATE,STRAY,91
ORG TABBY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,91
CRM TABBY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,91
GRAY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,91
BLK SMOKE,Male,6,5/4/17,NORMAL,STRAY,90
BLACK,Spayed,11,9/8/17,NORMAL,OWNER SURRENDER,90
WHITE,Spayed,6,1/17/18,NORMAL,OWNER SURRENDER,90
BLACK,Spayed,7,8/11/19,NORMAL,OWNER SURRENDER,90
TAN,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,90
BLACK,Neutered,12,10/25/20,NORMAL,STRAY,90
BRN TABBY,Neutered,2,4/21/21,UNDER AGE/WEIGHT,STRAY,90
BLACK,Spayed,2,4/21/21,UNDER AGE/WEIGHT,STRAY,90
BLACK,Neutered,1,8/4/22,NORMAL,STRAY,90
BLACK,Neutered,0,7/27/23,I/I REPORT,RETURN,90
BLACK,Male,5,6/23/18,NORMAL,STRAY,89
BLACK,Male,5,6/23/18,NORMAL,STRAY,89
BLACK,Spayed,7,7/26/18,NORMAL,STRAY,89
GRAY TABBY,Neutered,4,5/17/19,UNDER AGE/WEIGHT,STRAY,89
BLACK,Spayed,4,10/5/19,UNDER AGE/WEIGHT,STRAY,89
ORANGE,Spayed,2,5/8/21,NORMAL,STRAY,89
GRAY,Spayed,2,6/4/21,NORMAL,QUARANTINE,89
GRAY,Spayed,2,6/4/21,NORMAL,STRAY,89
BLACK,Spayed,2,6/7/21,UNDER AGE/WEIGHT,STRAY,89
ORG TABBY,Neutered,9,3/24/18,NORMAL,OWNER SURRENDER,88
BLACK,Spayed,4,6/5/19,UNDER AGE/WEIGHT,STRAY,88
BLACK,Neutered,4,6/5/19,UNDER AGE/WEIGHT,STRAY,88
BLACK,Spayed,7,9/25/19,NORMAL,STRAY,88
BRN TABBY,Neutered,1,9/25/22,UNDER AGE/WEIGHT,STRAY,88
GRAY,Neutered,4,6/9/19,NORMAL,STRAY,87
WHITE,Spayed,4,8/25/19,UNDER AGE/WEIGHT,STRAY,87
WHITE,Spayed,6,9/18/19,NORMAL,STRAY,87
BRN TABBY,Spayed,1,4/19/22,UNDER AGE/WEIGHT,STRAY,87
CRM TABBY,Neutered,6,10/19/22,INJURED  MILD,STRAY,87
WHITE,Neutered,0,7/20/23,ILL MODERATETE,STRAY,87
LC LYNX PT,Neutered,10,2/23/17,NORMAL,OWNER SURRENDER,86
BLACK,Neutered,8,8/6/17,NORMAL,STRAY,86
CALICO,Female,8,11/19/17,NORMAL,STRAY,86
GRAY TABBY,Neutered,5,9/5/18,NORMAL,STRAY,86
TORTIE,Spayed,6,2/24/19,NORMAL,STRAY,86
CALICO TAB,Spayed,4,9/10/19,NORMAL,STRAY,86
BRN TABBY,Spayed,3,9/11/20,NORMAL,STRAY,86
BLACK,Neutered,4,9/11/20,BEHAVIOR  MODERATE,RETURN,86
BLACK,Neutered,1,10/12/22,NORMAL,STRAY,86
GRAY,Neutered,6,9/28/17,UNDER AGE/WEIGHT,STRAY,85
BLACK,Male,5,6/27/18,NORMAL,STRAY,85
BLACK,Male,4,8/8/19,FRACTIOUS,STRAY,85
TORBI,Spayed,4,9/13/19,UNDER AGE/WEIGHT,STRAY,85
TORBI,Spayed,4,9/13/19,UNDER AGE/WEIGHT,STRAY,85
CALICO,Spayed,8,6/2/20,NORMAL,CONFISCATE,85
ORANGE,Spayed,8,6/2/20,NORMAL,CONFISCATE,85
BLACK,Spayed,3,6/10/21,INJURED  MODERATE,STRAY,85
GRAY TABBY,Spayed,2,7/24/21,UNDER AGE/WEIGHT,STRAY,85
ORG TABBY,Neutered,3,9/17/21,ILL MODERATETE,STRAY,85
GRAY,Neutered,3,10/23/21,ILL MODERATETE,OWNER SURRENDER,85
WHITE,Spayed,1,9/21/22,ILL MILD,STRAY,85
WHITE,Neutered,1,9/21/22,ILL MILD,STRAY,85
BLACK,Spayed,1,3/17/23,NORMAL,OWNER SURRENDER,85
BRN TABBY,Spayed,1,4/14/23,ILL MODERATETE,STRAY,85
BRN TABBY,Spayed,8,6/22/23,I/I REPORT,STRAY,85
ORG TABBY,Male,5,7/5/18,NORMAL,STRAY,84
BRN TABBY,Spayed,7,5/4/19,NORMAL,STRAY,84
GRAY,Spayed,4,6/7/19,UNDER AGE/WEIGHT,STRAY,84
BLACK,Spayed,6,6/26/19,NORMAL,STRAY,84
BRN TABBY,Spayed,4,9/25/19,NORMAL,STRAY,84
BRN TABBY,Spayed,7,9/25/19,NORMAL,STRAY,84
WHITE,Neutered,15,10/31/20,NORMAL,OWNER SURRENDER,84
TORTIE,Spayed,3,10/31/20,UNDER AGE/WEIGHT,STRAY,84
BLACK,Spayed,2,4/17/21,UNDER AGE/WEIGHT,STRAY,84
BLACK,Neutered,2,9/23/21,UNDER AGE/WEIGHT,STRAY,84
GRAY TABBY,Neutered,1,8/10/22,UNDER AGE/WEIGHT,STRAY,84
ORANGE,Neutered,0,3/10/23,UNDER AGE/WEIGHT,STRAY,84
CRM TABBY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,84
CALICO DIL,Spayed,0,7/26/23,UNDER AGE/WEIGHT,STRAY,84
CHOC PT,Spayed,6,7/9/17,UNDER AGE/WEIGHT,STRAY,83
TORBI,Female,10,9/8/17,NORMAL,OWNER SURRENDER,83
ORG TABBY,Neutered,11,2/25/18,NORMAL,STRAY,83
BRN TABBY,Spayed,5,5/31/18,UNDER AGE/WEIGHT,STRAY,83
BRN TABBY,Neutered,11,6/5/18,NORMAL,SAFE KEEP,83
CALICO,Spayed,4,5/15/19,UNDER AGE/WEIGHT,STRAY,83
BLACK,Neutered,4,6/2/19,UNDER AGE/WEIGHT,STRAY,83
GRAY,Spayed,4,9/12/19,NORMAL,STRAY,83
BLACK,Spayed,4,9/12/19,NORMAL,STRAY,83
BLACK,Neutered,4,9/27/19,NORMAL,STRAY,83
BLACK,Spayed,4,10/17/19,NORMAL,STRAY,83
BRN TABBY,Neutered,6,7/23/20,NORMAL,OWNER SURRENDER,83
BLACK,Unknown,3,8/16/20,UNDER AGE/WEIGHT,STRAY,83
BLACK,Neutered,3,9/17/20,UNDER AGE/WEIGHT,STRAY,83
BLACK,Neutered,3,10/22/20,NORMAL,STRAY,83
TORTIE,Spayed,2,5/28/21,NORMAL,STRAY,83
TORTIE,Spayed,2,5/28/21,NORMAL,STRAY,83
BLACK,Spayed,2,7/11/21,INJURED  MILD,STRAY,83
GRAY,Spayed,8,10/28/21,INJURED  MILD,OWNER SURRENDER,83
BLACK,Neutered,0,6/15/23,UNDER AGE/WEIGHT,STRAY,83
BLACK,Spayed,5,5/13/18,UNDER AGE/WEIGHT,STRAY,82
BRN TABBY,Neutered,10,8/5/18,NORMAL,OWNER SURRENDER,82
BLACK,Spayed,4,6/4/19,ILL MILD,STRAY,82
GRAY TABBY,Spayed,4,6/17/19,NORMAL,STRAY,82
TORTIE,Spayed,4,7/23/19,NORMAL,STRAY,82
BRN TABBY,Neutered,13,10/25/19,NORMAL,STRAY,82
BRN TABBY,Spayed,6,6/27/20,NORMAL,OWNER SURRENDER,82
WHITE,Spayed,8,3/13/21,NORMAL,STRAY,82
BLACK,Spayed,2,5/23/21,UNDER AGE/WEIGHT,STRAY,82
CALICO,Spayed,1,11/19/22,UNDER AGE/WEIGHT,STRAY,82
TAN,Spayed,1,6/2/23,INJURED  SEVERE,STRAY,82
BLACK,Spayed,3,7/15/23,FRACTIOUS,STRAY,82
BLACK,Neutered,9,7/28/17,NORMAL,STRAY,81
BLACK,Male,5,9/12/18,NORMAL,STRAY,81
BLACK,Spayed,4,7/28/19,NORMAL,STRAY,81
BRN TABBY,Spayed,4,9/15/19,UNDER AGE/WEIGHT,STRAY,81
BLACK,Neutered,2,7/21/21,NORMAL,STRAY,81
BLACK,Spayed,2,11/2/21,ILL MILD,STRAY,81
WHITE,Spayed,1,4/11/22,UNDER AGE/WEIGHT,STRAY,81
ORG TABBY,Neutered,5,8/18/18,ILL MILD,STRAY,80
WHITE,Spayed,12,12/19/18,FRACTIOUS,OWNER SURRENDER,80
ORG TABBY,Neutered,4,8/14/19,NORMAL,STRAY,80
GRAY,Neutered,4,9/5/19,INJURED  MODERATE,STRAY,80
WHITE,Spayed,4,9/11/19,NORMAL,OWNER SURRENDER,80
WHITE,Spayed,4,9/11/19,NORMAL,OWNER SURRENDER,80
BRN TABBY,Neutered,4,9/25/19,NORMAL,STRAY,80
CALICO,Spayed,13,10/27/19,NORMAL,OWNER SURRENDER,80
WHITE,Neutered,1,6/30/22,NORMAL,STRAY,80
WHITE,Spayed,1,5/24/23,NORMAL,STRAY,80
BLK TABBY,Female,6,7/19/17,NORMAL,STRAY,79
BLUE PT,Male,6,7/19/17,NORMAL,STRAY,79
BLACK,Neutered,14,1/23/19,NORMAL,STRAY,79
BRN TABBY,Spayed,5,4/29/20,NORMAL,OWNER SURRENDER,79
BRN TABBY,Neutered,1,7/1/22,UNDER AGE/WEIGHT,STRAY,79
BRN TABBY,Neutered,1,9/29/22,UNDER AGE/WEIGHT,STRAY,79
BLACK,Neutered,1,9/29/22,UNDER AGE/WEIGHT,STRAY,79
SEAL PT,Neutered,2,11/22/22,NORMAL,OWNER SURRENDER,79
LI LYNX PT,Spayed,2,1/13/23,FRACTIOUS,STRAY,79
CALICO,Spayed,9,2/8/17,NORMAL,OWNER SURRENDER,78
BLACK,Male,8,8/1/18,NORMAL,OWNER SURRENDER,78
BLACK,Neutered,5,9/26/18,NORMAL,STRAY,78
BLACK,Spayed,19,5/24/19,NORMAL,STRAY,78
BLACK,Spayed,9,11/2/19,NORMAL,WELFARE SEIZED,78
BLACK,Neutered,7,11/6/20,NORMAL,OWNER SURRENDER,78
BLUE PT,Neutered,9,11/6/20,ILL MODERATETE,STRAY,78
TORTIE,Spayed,3,3/5/21,NORMAL,STRAY,78
ORG TABBY,Neutered,2,7/16/21,UNDER AGE/WEIGHT,STRAY,78
BLACK,Spayed,2,1/5/23,NORMAL,OWNER SURRENDER,78
ORG TABBY,Neutered,4,1/11/23,NORMAL,STRAY,78
WHITE,Male,8,10/6/17,NORMAL,STRAY,77
BLACK,Male,5,5/31/18,UNDER AGE/WEIGHT,STRAY,77
LYNX PT,Spayed,5,8/7/18,NORMAL,STRAY,77
LYNX PT,Neutered,5,8/7/18,NORMAL,STRAY,77
WHITE,Spayed,16,12/29/18,INJURED  MILD,CONFISCATE,77
WHITE,Neutered,12,10/8/20,ILL MODERATETE,STRAY,77
BLACK,Neutered,3,10/15/20,NORMAL,STRAY,77
GRAY,Neutered,4,3/10/21,NORMAL,RETURN,77
BLACK,Neutered,3,4/1/21,ILL MILD,STRAY,77
CALICO,Spayed,2,4/2/21,NORMAL,STRAY,77
GRAY,Spayed,2,6/11/21,UNDER AGE/WEIGHT,STRAY,77
BLACK,Spayed,2,7/21/21,NORMAL,STRAY,77
BRN TABBY,Neutered,3,8/4/21,NORMAL,STRAY,77
BLACK,Neutered,2,6/15/22,ILL MILD,STRAY,77
BLACK,Neutered,2,6/15/22,ILL MILD,STRAY,77
WHITE,Neutered,5,7/24/22,INJURED  SEVERE,STRAY,77
GRAY TABBY,Spayed,1,8/10/22,UNDER AGE/WEIGHT,STRAY,77
BLACK,Neutered,6,5/4/17,NORMAL,STRAY,76
BRN TABBY,Spayed,6,6/28/17,NORMAL,STRAY,76
BRN TABBY,Spayed,10,5/12/18,NORMAL,STRAY,76
BLK TABBY,Spayed,5,8/1/18,NORMAL,STRAY,76
BLACK,Female,5,9/26/18,UNDER AGE/WEIGHT,STRAY,76
BLACK,Spayed,4,5/26/19,INJURED  SEVERE,STRAY,76
BLACK,Spayed,17,5/30/19,NORMAL,OWNER SURRENDER,76
GRAY TABBY,Male,4,8/1/19,UNDER AGE/WEIGHT,STRAY,76
WHITE,Neutered,4,8/25/19,UNDER AGE/WEIGHT,STRAY,76
WHITE,Neutered,4,8/25/19,UNDER AGE/WEIGHT,STRAY,76
CALICO,Spayed,3,4/2/21,NORMAL,STRAY,76
GRAY TABBY,Spayed,2,7/2/21,NORMAL,STRAY,76
BRN TABBY,Spayed,0,8/10/23,ILL MILD,STRAY,76
BLACK,Neutered,6,6/12/17,NORMAL,STRAY,75
BLACK,Neutered,6,6/12/17,NORMAL,STRAY,75
BLACK,Neutered,6,6/29/17,UNDER AGE/WEIGHT,STRAY,75
LYNX PT,Spayed,6,10/16/18,NORMAL,STRAY,75
BLACK,Spayed,4,5/25/19,UNDER AGE/WEIGHT,STRAY,75
ORG TABBY,Spayed,4,8/9/19,FRACTIOUS,STRAY,75
BRN TABBY,Neutered,6,6/27/20,NORMAL,OWNER SURRENDER,75
BRN TABBY,Neutered,10,6/27/20,NORMAL,STRAY,75
ORG TABBY,Spayed,2,7/16/21,UNDER AGE/WEIGHT,STRAY,75
ORG TABBY,Spayed,2,7/16/21,UNDER AGE/WEIGHT,STRAY,75
GRAY TABBY,Spayed,4,5/15/22,BEHAVIOR  MILD,RETURN,75
BROWN,Spayed,1,9/11/22,UNDER AGE/WEIGHT,STRAY,75
CALICO,Spayed,2,10/19/22,NORMAL,STRAY,75
BLACK,Neutered,0,7/28/23,ILL MODERATETE,STRAY,75
BLACK,Neutered,9,2/2/18,NORMAL,STRAY,74
CALICO,Spayed,7,3/6/18,NORMAL,QUARANTINE,74
