Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed,Primary_Color_encoded,Sex_encoded,Intake_Condition_encoded,Intake_Type_encoded
BRN TABBY,Spayed,3,8/31/22,INJURED  MILD,STRAY,127,5,3,10,3
ORG TABBY,Neutered,6,8/31/22,NORMAL,OWNER SURRENDER,127,22,2,13,1
GRAY TABBY,Female,8,10/4/17,NORMAL,OWNER SURRENDER,126,16,0,13,1
GRAY,Spayed,8,10/4/17,NORMAL,OWNER SURRENDER,126,15,3,13,1
CALICO,Female,7,5/17/18,NORMAL,STRAY,126,8,0,13,3
BROWN,Spayed,5,11/23/18,NORMAL,STRAY,126,7,3,13,3
ORG TABBY,Neutered,3,10/22/20,NORMAL,STRAY,126,22,2,13,3
ORANGE,Neutered,3,4/9/22,ILL MODERATETE,OWNER SURRENDER,126,21,2,8,1
BLACK,Spayed,9,7/28/17,NORMAL,STRAY,125,0,3,13,3
GRAY TABBY,Neutered,9,10/21/17,NORMAL,OWNER SURRENDER,125,16,2,13,1
BLACK,Neutered,5,6/20/18,UNDER AGE/WEIGHT,STRAY,125,0,2,14,3
GRAY,Spayed,17,8/10/18,NORMAL,OWNER SURRENDER,125,15,3,13,1
BLK SMOKE,Neutered,4,8/2/19,NORMAL,STRAY,125,1,2,13,3
BRN TABBY,Spayed,5,4/22/21,NORMAL,CONFISCATE,125,5,3,13,0
GRAY,Spayed,1,8/18/22,ILL MODERATETE,STRAY,125,15,3,8,3
ORG TABBY,Neutered,8,6/23/17,NORMAL,STRAY,124,22,2,13,3
TRICOLOR,Spayed,10,4/25/18,ILL SEVERE,OWNER SURRENDER,124,31,3,9,1
FLAME PT,Neutered,8,8/18/19,NORMAL,STRAY,124,14,2,13,3
BRN TABBY,Spayed,3,8/16/20,UNDER AGE/WEIGHT,STRAY,124,5,3,14,3
BLACK,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,123,0,3,14,3
BLACK,Neutered,9,6/29/19,NORMAL,OWNER SURRENDER,123,0,2,13,1
BLACK,Spayed,3,9/22/20,NORMAL,RETURN,123,0,3,13,2
BLACK,Spayed,1,5/22/22,UNDER AGE/WEIGHT,STRAY,123,0,3,14,3
BLACK,Neutered,9,6/1/22,BEHAVIOR  MILD,OWNER SURRENDER,123,0,2,1,1
BRN TABBY,Spayed,12,5/13/17,NORMAL,STRAY,122,5,3,13,3
SEAL PT,Male,6,10/24/17,UNDER AGE/WEIGHT,STRAY,122,24,1,14,3
BLACK,Female,6,10/24/17,UNDER AGE/WEIGHT,STRAY,122,0,0,14,3
GRAY TABBY,Spayed,10,1/12/19,NORMAL,STRAY,122,16,3,13,3
GRAY TABBY,Spayed,10,4/23/20,NORMAL,OWNER SURRENDER,122,16,3,13,1
GRAY TABBY,Neutered,3,4/12/22,NORMAL,STRAY,122,16,2,13,3
BLACK,Neutered,3,4/27/22,NORMAL,OWNER SURRENDER,122,0,2,13,1
BLACK,Spayed,0,3/28/23,ILL MODERATETE,STRAY,122,0,3,8,3
ORANGE,Neutered,6,4/7/21,NORMAL,OWNER SURRENDER,121,21,2,13,1
GRAY,Spayed,2,8/31/21,NORMAL,STRAY,121,15,3,13,3
GRAY,Neutered,2,8/31/21,NORMAL,STRAY,121,15,2,13,3
BRN TABBY,Spayed,5,7/24/19,NORMAL,STRAY,120,5,3,13,3
BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,120,0,2,14,3
BLACK,Spayed,4,8/21/19,UNDER AGE/WEIGHT,STRAY,120,0,3,14,3
GRAY TABBY,Spayed,11,8/31/19,NORMAL,OWNER SURRENDER,120,16,3,13,1
BLACK,Spayed,5,9/11/19,NORMAL,OWNER SURRENDER,120,0,3,13,1
ORG TABBY,Neutered,4,3/1/22,FRACTIOUS,STRAY,120,22,2,5,3
BLACK,Spayed,1,8/4/22,NORMAL,STRAY,120,0,3,13,3
BLACK,Spayed,1,8/26/22,NORMAL,RETURN,120,0,3,13,2
TRICOLOR,Spayed,2,3/17/23,NORMAL,OWNER SURRENDER,120,31,3,13,1
TORTIE,Spayed,6,9/15/17,FERAL,STRAY,119,29,3,4,3
BRN TABBY,Female,8,11/3/18,NORMAL,STRAY,119,5,0,13,3
BRN TABBY,Neutered,4,10/18/19,ILL SEVERE,STRAY,119,5,2,9,3
GRAY TABBY,Neutered,1,9/7/22,NORMAL,STRAY,119,16,2,13,3
ORANGE,Neutered,16,5/24/23,NORMAL,OWNER SURRENDER,119,21,2,13,1
GRAY TABBY,Spayed,9,12/15/18,FRACTIOUS,STRAY,118,16,3,5,3
BLACK,Neutered,4,9/8/19,NORMAL,STRAY,118,0,2,13,3
GRAY TABBY,Spayed,3,4/10/21,NORMAL,STRAY,118,16,3,13,3
ORG TABBY,Neutered,3,9/19/21,NORMAL,STRAY,118,22,2,13,3
GRAY,Neutered,1,5/22/22,UNDER AGE/WEIGHT,STRAY,118,15,2,14,3
BLACK,Spayed,5,1/13/23,NORMAL,OWNER SURRENDER,118,0,3,13,1
BLACK,Spayed,12,3/9/21,ILL SEVERE,CONFISCATE,117,0,3,9,0
GRAY,Spayed,1,1/7/22,NORMAL,STRAY,117,15,3,13,3
ORANGE,Neutered,1,1/7/22,NORMAL,STRAY,117,21,2,13,3
ORANGE,Neutered,1,1/7/22,NORMAL,STRAY,117,21,2,13,3
CALICO,Spayed,1,1/7/22,NORMAL,STRAY,117,8,3,13,3
BRN TABBY,Neutered,0,5/19/23,ILL MILD,STRAY,117,5,2,7,3
WHITE,Neutered,7,3/11/17,NORMAL,STRAY,116,32,2,13,3
GRAY TABBY,Neutered,6,8/30/17,INJURED  MILD,STRAY,116,16,2,10,3
BLACK,Neutered,5,8/21/19,NORMAL,OWNER SURRENDER,116,0,2,13,1
ORG TABBY,Neutered,4,9/15/19,NORMAL,STRAY,116,22,2,13,3
WHITE,Spayed,3,8/21/21,ILL SEVERE,OWNER SURRENDER,116,32,3,9,1
BLACK,Neutered,0,6/11/23,ILL MILD,STRAY,116,0,2,7,3
BLACK,Neutered,7,3/21/18,NORMAL,STRAY,115,0,2,13,3
BRN TABBY,Female,4,5/8/19,NORMAL,STRAY,115,5,0,13,3
BLACK,Spayed,8,8/8/19,FRACTIOUS,OWNER SURRENDER,115,0,3,5,1
BLACK,Spayed,0,5/7/23,NORMAL,STRAY,115,0,3,13,3
BLACK,Neutered,10,9/6/18,FRACTIOUS,STRAY,114,0,2,5,3
BRN TABBY,Spayed,7,9/23/21,NORMAL,STRAY,114,5,3,13,3
BLACK,Neutered,5,5/18/22,ILL SEVERE,STRAY,114,0,2,9,3
BRN TABBY,Neutered,0,5/10/23,NORMAL,STRAY,114,5,2,13,3
ORG TABBY,Neutered,6,9/21/17,FERAL,STRAY,113,22,2,4,3
BLACK,Neutered,10,9/7/19,NORMAL,STRAY,113,0,2,13,3
BRN TABBY,Neutered,3,6/23/20,NORMAL,STRAY,113,5,2,13,3
ORG TABBY,Neutered,2,4/15/21,UNDER AGE/WEIGHT,STRAY,113,22,2,14,3
BLACK,Spayed,2,4/15/21,UNDER AGE/WEIGHT,STRAY,113,0,3,14,3
FLAME PT,Neutered,2,4/15/21,UNDER AGE/WEIGHT,STRAY,113,14,2,14,3
ORANGE,Neutered,9,1/7/22,NORMAL,STRAY,113,21,2,13,3
WHITE,Neutered,7,3/5/22,INJURED  SEVERE,STRAY,113,32,2,12,3
BLACK,Spayed,1,10/19/22,NORMAL,STRAY,113,0,3,13,3
CALICO,Female,1,10/19/22,NORMAL,STRAY,113,8,0,13,3
GRAY TABBY,Spayed,1,10/19/22,NORMAL,STRAY,113,16,3,13,3
CALICO,Female,1,10/19/22,NORMAL,STRAY,113,8,0,13,3
CRM TABBY,Neutered,6,10/5/17,NORMAL,STRAY,112,13,2,13,3
BRN TABBY,Spayed,6,5/31/18,NORMAL,STRAY,112,5,3,13,3
BLACK,Neutered,4,6/26/19,NORMAL,STRAY,112,0,2,13,3
BRN TABBY,Neutered,4,6/26/19,NORMAL,STRAY,112,5,2,13,3
ORG TABBY,Neutered,4,7/31/19,NORMAL,STRAY,112,22,2,13,3
BRN TABBY,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,112,5,2,14,3
SEAL PT,Male,2,6/11/21,NORMAL,STRAY,112,24,1,13,3
BLACK,Spayed,2,3/5/22,NORMAL,STRAY,112,0,3,13,3
GRAY TABBY,Neutered,2,5/31/23,INJURED  MODERATE,STRAY,112,16,2,11,3
BRN TABBY,Spayed,7,11/7/18,NORMAL,STRAY,111,5,3,13,3
WHITE,Spayed,4,7/11/19,NORMAL,STRAY,111,32,3,13,3
BLACK,Female,3,6/2/20,UNDER AGE/WEIGHT,STRAY,111,0,0,14,3
BRN TABBY,Neutered,2,8/25/21,UNDER AGE/WEIGHT,STRAY,111,5,2,14,3
BLACK,Male,1,12/3/22,NORMAL,RETURN,111,0,1,13,2
CALICO,Spayed,0,4/30/23,UNDER AGE/WEIGHT,STRAY,111,8,3,14,3
BLACK,Female,7,7/14/17,NORMAL,STRAY,110,0,0,13,3
GRAY,Spayed,8,2/25/19,NORMAL,STRAY,110,15,3,13,3
BLACK,Neutered,4,9/8/19,NORMAL,STRAY,110,0,2,13,3
GRAY TABBY,Spayed,2,4/30/21,NORMAL,STRAY,110,16,3,13,3
ORG TABBY,Neutered,3,9/12/22,FRACTIOUS,OWNER SURRENDER,110,22,2,5,1
BRN TABBY,Neutered,7,1/30/18,NORMAL,STRAY,109,5,2,13,3
ORG TABBY,Female,5,8/26/18,NORMAL,STRAY,109,22,0,13,3
BLACK,Male,5,10/6/18,NORMAL,STRAY,109,0,1,13,3
BRN TABBY,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,109,5,2,14,3
BLACK,Spayed,5,3/29/23,NORMAL,OWNER SURRENDER,109,0,3,13,1
BLACK,Neutered,1,4/8/23,ILL MODERATETE,OWNER SURRENDER,109,0,2,8,1
BLACK,Spayed,9,12/30/17,NORMAL,STRAY,108,0,3,13,3
BLACK,Neutered,6,5/15/19,NORMAL,STRAY,108,0,2,13,3
BLACK,Male,4,9/16/19,UNDER AGE/WEIGHT,STRAY,108,0,1,14,3
LYNX PT,Spayed,13,11/17/19,NORMAL,OWNER SURRENDER,108,20,3,13,1
LYNX PT,Neutered,13,12/15/21,ILL MILD,STRAY,108,20,2,7,3
BLACK,Neutered,0,7/2/23,UNDER AGE/WEIGHT,STRAY,108,0,2,14,3
GRAY,Neutered,11,7/19/19,NORMAL,OWNER SURRENDER,107,15,2,13,1
BRN TABBY,Spayed,7,9/25/19,NORMAL,STRAY,107,5,3,13,3
ORG TABBY,Spayed,3,3/3/21,NORMAL,STRAY,107,22,3,13,3
BRN TABBY,Spayed,0,6/26/23,ILL MILD,STRAY,107,5,3,7,3
GRAY,Neutered,7,6/27/18,NORMAL,STRAY,106,15,2,13,3
CREAM,Neutered,3,10/26/22,NORMAL,STRAY,106,12,2,13,3
ORG TABBY,Neutered,3,10/26/22,NORMAL,STRAY,106,22,2,13,3
CREAM,Male,4,5/18/19,UNDER AGE/WEIGHT,STRAY,105,12,1,14,3
BLACK,Neutered,4,5/25/19,FRACTIOUS,STRAY,105,0,2,5,3
BLACK,Neutered,4,6/29/19,NORMAL,STRAY,105,0,2,13,3
BLACK,Spayed,4,7/25/19,NORMAL,STRAY,105,0,3,13,3
ORANGE,Neutered,6,8/30/19,NORMAL,OWNER SURRENDER,105,21,2,13,1
BLACK,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,105,0,2,14,3
WHITE,Neutered,4,10/5/19,UNDER AGE/WEIGHT,STRAY,105,32,2,14,3
BLACK,Neutered,2,9/5/21,NORMAL,STRAY,105,0,2,13,3
BLACK,Neutered,1,4/24/22,NORMAL,STRAY,105,0,2,13,3
CHOC PT,Neutered,5,4/24/22,ILL SEVERE,STRAY,105,11,2,9,3
BRN TABBY,Female,5,12/6/17,UNDER AGE/WEIGHT,STRAY,104,5,0,14,3
BLACK,Spayed,2,5/23/21,UNDER AGE/WEIGHT,STRAY,104,0,3,14,3
ORG TABBY,Spayed,2,7/16/21,UNDER AGE/WEIGHT,STRAY,104,22,3,14,3
BLACK,Neutered,2,9/16/21,UNDER AGE/WEIGHT,STRAY,104,0,2,14,3
BRN TABBY,Spayed,1,4/28/22,UNDER AGE/WEIGHT,STRAY,104,5,3,14,3
BLACK,Neutered,3,5/5/22,INJURED  MILD,STRAY,104,0,2,10,3
BLACK,Spayed,1,5/13/22,NORMAL,STRAY,104,0,3,13,3
BLACK,Neutered,0,6/25/23,ILL MILD,STRAY,104,0,2,7,3
BLACK,Neutered,0,7/13/23,NORMAL,STRAY,104,0,2,13,3
BRN TABBY,Spayed,0,7/13/23,NORMAL,STRAY,104,5,3,13,3
BLACK,Neutered,11,3/24/17,ILL SEVERE,STRAY,103,0,2,9,3
GRAY TABBY,Neutered,9,10/1/17,INJURED  MILD,STRAY,103,16,2,10,3
TORTIE,Spayed,12,12/22/17,NORMAL,STRAY,103,29,3,13,3
BLACK,Neutered,5,10/4/19,NORMAL,STRAY,103,0,2,13,3
BRN TABBY,Female,4,11/18/19,NORMAL,STRAY,103,5,0,13,3
BLACK,Neutered,4,8/18/20,NORMAL,STRAY,103,0,2,13,3
CALICO,Spayed,2,7/30/21,UNDER AGE/WEIGHT,STRAY,103,8,3,14,3
BLK TABBY,Neutered,4,9/3/21,NORMAL,STRAY,103,2,2,13,3
BRN TABBY,Neutered,4,9/9/22,INJURED  MILD,STRAY,103,5,2,10,3
GRAY,Spayed,1,6/24/23,I/I REPORT,STRAY,103,15,3,6,3
BRN TABBY,Female,5,6/17/18,NORMAL,STRAY,102,5,0,13,3
BLACK,Male,5,9/2/18,NORMAL,STRAY,102,0,1,13,3
BRN TABBY,Neutered,5,9/2/18,NORMAL,STRAY,102,5,2,13,3
BRN TABBY,Spayed,4,9/25/19,NORMAL,STRAY,102,5,3,13,3
BRN TABBY,Neutered,4,10/18/19,NORMAL,STRAY,102,5,2,13,3
BLACK,Spayed,13,11/24/19,NORMAL,OWNER SURRENDER,102,0,3,13,1
SNOWSHOE,Spayed,10,5/7/21,NORMAL,OWNER SURRENDER,102,26,3,13,1
BLACK,Neutered,2,5/23/21,UNDER AGE/WEIGHT,STRAY,102,0,2,14,3
BLACK,Spayed,2,11/7/21,NORMAL,STRAY,102,0,3,13,3
LYNX PT,Spayed,1,5/22/22,INJURED  MILD,STRAY,102,20,3,10,3
TORTIE,Spayed,1,5/6/23,NORMAL,STRAY,102,29,3,13,3
ORG TABBY,Neutered,2,7/3/23,INJURED  MODERATE,STRAY,102,22,2,11,3
TORTIE,Spayed,4,4/17/19,UNDER AGE/WEIGHT,STRAY,101,29,3,14,3
BLACK,Spayed,11,11/16/19,NORMAL,STRAY,101,0,3,13,3
GRAY TABBY,Male,3,10/14/20,UNDER AGE/WEIGHT,STRAY,101,16,1,14,3
SEAL PT,Male,3,10/14/20,UNDER AGE/WEIGHT,STRAY,101,24,1,14,3
BLACK,Spayed,3,9/5/21,NORMAL,STRAY,101,0,3,13,3
BLACK,Spayed,2,7/16/23,INJURED  MILD,STRAY,101,0,3,10,3
CALICO,Spayed,8,5/10/17,NORMAL,STRAY,100,8,3,13,3
BLACK,Neutered,6,8/6/17,UNDER AGE/WEIGHT,STRAY,100,0,2,14,3
GRAY,Neutered,5,6/6/18,NORMAL,STRAY,100,15,2,13,3
CALICO,Spayed,4,9/10/19,NORMAL,STRAY,100,8,3,13,3
CALICO TAB,Spayed,4,9/10/19,NORMAL,STRAY,100,10,3,13,3
GRAY TABBY,Spayed,2,4/21/21,UNDER AGE/WEIGHT,STRAY,100,16,3,14,3
TORTIE,Spayed,1,9/26/22,NORMAL,STRAY,100,29,3,13,3
BLACK,Neutered,6,9/13/17,UNDER AGE/WEIGHT,STRAY,99,0,2,14,3
ORANGE,Neutered,11,6/13/18,NORMAL,OWNER SURRENDER,99,21,2,13,1
BRN TABBY,Female,5,9/22/18,NORMAL,STRAY,99,5,0,13,3
BRN TABBY,Spayed,8,11/3/18,NORMAL,STRAY,99,5,3,13,3
GRAY,Neutered,4,7/5/19,NORMAL,STRAY,99,15,2,13,3
BLACK,Neutered,4,10/18/19,NORMAL,STRAY,99,0,2,13,3
BRN TABBY,Neutered,8,1/27/21,FRACTIOUS,WELFARE SEIZED,99,5,2,5,4
TRICOLOR,Spayed,4,9/6/22,ILL MODERATETE,STRAY,99,31,3,8,3
ORG TABBY,Spayed,2,10/15/22,INJURED  MODERATE,STRAY,99,22,3,11,3
BLACK,Neutered,1,11/2/22,UNDER AGE/WEIGHT,STRAY,99,0,2,14,3
BLACK,Spayed,1,11/2/22,UNDER AGE/WEIGHT,STRAY,99,0,3,14,3
TORTIE,Spayed,19,2/23/18,NORMAL,OWNER SURRENDER,98,29,3,13,1
GRAY TABBY,Spayed,5,5/16/18,FRACTIOUS,STRAY,98,16,3,5,3
GRAY,Neutered,8,3/13/19,NORMAL,STRAY,98,15,2,13,3
TORTIE,Spayed,4,5/25/19,FRACTIOUS,STRAY,98,29,3,5,3
TORTIE,Spayed,4,5/25/19,FRACTIOUS,STRAY,98,29,3,5,3
BRN TABBY,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,98,5,2,14,3
BLACK,Neutered,4,9/1/19,UNDER AGE/WEIGHT,STRAY,98,0,2,14,3
CALICO,Spayed,4,11/9/19,NORMAL,STRAY,98,8,3,13,3
GRAY TABBY,Spayed,3,7/25/20,NORMAL,STRAY,98,16,3,13,3
GRAY,Neutered,9,10/17/20,NORMAL,STRAY,98,15,2,13,3
BLACK,Neutered,2,4/21/21,UNDER AGE/WEIGHT,STRAY,98,0,2,14,3
GRAY,Spayed,2,6/6/21,NORMAL,STRAY,98,15,3,13,3
GRAY,Spayed,2,6/9/21,UNDER AGE/WEIGHT,STRAY,98,15,3,14,3
BLACK,Spayed,2,6/9/21,UNDER AGE/WEIGHT,STRAY,98,0,3,14,3
ORANGE,Neutered,13,9/8/21,NORMAL,STRAY,98,21,2,13,3
BLACK,Spayed,1,4/3/22,UNDER AGE/WEIGHT,STRAY,98,0,3,14,3
WHITE,Spayed,1,4/3/22,UNDER AGE/WEIGHT,STRAY,98,32,3,14,3
GRAY,Spayed,3,4/29/22,BEHAVIOR  MODERATE,OWNER SURRENDER,98,15,3,2,1
BRN TABBY,Neutered,2,6/5/22,BEHAVIOR  MODERATE,OWNER SURRENDER,98,5,2,2,1
ORANGE,Neutered,3,4/29/23,INJURED  MODERATE,STRAY,98,21,2,11,3
GRAY,Neutered,2,2/14/22,NORMAL,OWNER SURRENDER,97,15,2,13,1
GRAY,Spayed,1,3/31/22,UNDER AGE/WEIGHT,STRAY,97,15,3,14,3
BRN TABBY,Spayed,1,3/31/22,UNDER AGE/WEIGHT,STRAY,97,5,3,14,3
BLACK,Spayed,1,5/22/22,UNDER AGE/WEIGHT,STRAY,97,0,3,14,3
GRAY TABBY,Spayed,0,4/1/23,UNDER AGE/WEIGHT,STRAY,97,16,3,14,3
GRAY,Neutered,9,7/1/23,ILL MILD,STRAY,97,15,2,7,3
WHITE,Neutered,8,7/9/23,INJURED  SEVERE,STRAY,97,32,2,12,3
ORG TABBY,Neutered,6,10/8/17,NORMAL,STRAY,96,22,2,13,3
BRN TABBY,Female,5,10/19/18,NORMAL,STRAY,96,5,0,13,3
BLACK,Female,5,10/19/18,NORMAL,STRAY,96,0,0,13,3
BRN TABBY,Spayed,5,10/4/19,NORMAL,OWNER SURRENDER,96,5,3,13,1
CALICO,Spayed,4,10/19/19,NORMAL,STRAY,96,8,3,13,3
ORG TABBY,Neutered,4,11/9/19,NORMAL,STRAY,96,22,2,13,3
BLACK,Neutered,1,4/2/22,UNDER AGE/WEIGHT,STRAY,96,0,2,14,3
SEAL PT,Spayed,1,4/2/22,UNDER AGE/WEIGHT,STRAY,96,24,3,14,3
ORANGE,Neutered,3,7/16/22,NORMAL,STRAY,96,21,2,13,3
ORG TABBY,Spayed,5,9/12/18,NORMAL,STRAY,95,22,3,13,3
BLACK,Neutered,7,4/23/19,INJURED  SEVERE,STRAY,95,0,2,12,3
BRN TABBY,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,95,5,2,14,3
CALICO,Spayed,4,11/17/19,NORMAL,STRAY,95,8,3,13,3
BLACK,Spayed,2,11/14/21,NORMAL,STRAY,95,0,3,13,3
TORTIE,Spayed,2,4/13/22,NORMAL,OWNER SURRENDER,95,29,3,13,1
TAN,Female,18,4/2/17,NORMAL,OWNER SURRENDER,94,27,0,13,1
GRAY,Neutered,6,9/2/18,NORMAL,OWNER SURRENDER,94,15,2,13,1
GRAY,Spayed,15,9/16/18,NORMAL,STRAY,94,15,3,13,3
ORANGE,Spayed,13,10/21/18,NORMAL,OWNER SURRENDER,94,21,3,13,1
BLACK,Neutered,4,11/24/19,NORMAL,STRAY,94,0,2,13,3
TRICOLOR,Spayed,3,11/17/21,ILL MODERATETE,OWNER SURRENDER,94,31,3,8,1
GRAY,Spayed,4,5/1/22,NORMAL,WELFARE SEIZED,94,15,3,13,4
WHITE,Spayed,3,8/10/22,ILL MILD,STRAY,94,32,3,7,3
BLACK,Neutered,1,10/16/22,NORMAL,STRAY,94,0,2,13,3
BRN TABBY,Neutered,5,5/16/21,INJURED  SEVERE,STRAY,93,5,2,12,3
BLACK,Spayed,0,7/6/23,I/I REPORT,STRAY,93,0,3,6,3
BRN TABBY,Neutered,0,7/6/23,I/I REPORT,STRAY,93,5,2,6,3
BLACK,Male,6,12/21/18,FRACTIOUS,STRAY,92,0,1,5,3
BRN TABBY,Spayed,6,9/7/19,NORMAL,STRAY,92,5,3,13,3
BRN TABBY,Neutered,4,10/5/19,UNDER AGE/WEIGHT,STRAY,92,5,2,14,3
BRN TABBY,Spayed,4,10/18/19,NORMAL,STRAY,92,5,3,13,3
BLACK,Neutered,2,5/4/21,UNDER AGE/WEIGHT,STRAY,92,0,2,14,3
WHITE,Spayed,9,11/20/21,ILL MODERATETE,STRAY,92,32,3,8,3
TORTIE,Spayed,10,9/7/22,INJURED  MILD,STRAY,92,29,3,10,3
BLACK,Neutered,1,11/16/22,NORMAL,STRAY,92,0,2,13,3
BLACK,Male,1,11/16/22,NORMAL,STRAY,92,0,1,13,3
BLACK,Neutered,0,5/17/23,UNDER AGE/WEIGHT,STRAY,92,0,2,14,3
BRN TABBY,Female,5,8/29/18,NORMAL,STRAY,91,5,0,13,3
BRN TABBY,Female,8,9/18/18,NORMAL,STRAY,91,5,0,13,3
BLACK,Male,5,9/23/18,NORMAL,OWNER SURRENDER,91,0,1,13,1
ORG TABBY,Neutered,6,10/4/18,FRACTIOUS,OWNER SURRENDER,91,22,2,5,1
GRAY TABBY,Female,4,5/17/19,UNDER AGE/WEIGHT,STRAY,91,16,0,14,3
ORG TABBY,Neutered,4,7/24/19,NORMAL,STRAY,91,22,2,13,3
GRAY TABBY,Spayed,2,4/21/21,UNDER AGE/WEIGHT,STRAY,91,16,3,14,3
BLACK,Neutered,5,6/3/21,NORMAL,CONFISCATE,91,0,2,13,0
WHITE,Spayed,2,9/4/21,UNDER AGE/WEIGHT,STRAY,91,32,3,14,3
TORTIE,Spayed,2,8/31/22,NORMAL,OWNER SURRENDER,91,29,3,13,1
GRAY TABBY,Neutered,1,9/21/22,INJURED  MODERATE,STRAY,91,16,2,11,3
ORG TABBY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,91,22,2,8,3
CRM TABBY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,91,13,2,8,3
GRAY,Neutered,0,5/31/23,ILL MODERATETE,STRAY,91,15,2,8,3
BLK SMOKE,Male,6,5/4/17,NORMAL,STRAY,90,1,1,13,3
BLACK,Spayed,11,9/8/17,NORMAL,OWNER SURRENDER,90,0,3,13,1
WHITE,Spayed,6,1/17/18,NORMAL,OWNER SURRENDER,90,32,3,13,1
BLACK,Spayed,7,8/11/19,NORMAL,OWNER SURRENDER,90,0,3,13,1
TAN,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,90,27,2,14,3
BLACK,Neutered,12,10/25/20,NORMAL,STRAY,90,0,2,13,3
BRN TABBY,Neutered,2,4/21/21,UNDER AGE/WEIGHT,STRAY,90,5,2,14,3
BLACK,Spayed,2,4/21/21,UNDER AGE/WEIGHT,STRAY,90,0,3,14,3
BLACK,Neutered,1,8/4/22,NORMAL,STRAY,90,0,2,13,3
BLACK,Neutered,0,7/27/23,I/I REPORT,RETURN,90,0,2,6,2
BLACK,Male,5,6/23/18,NORMAL,STRAY,89,0,1,13,3
BLACK,Male,5,6/23/18,NORMAL,STRAY,89,0,1,13,3
BLACK,Spayed,7,7/26/18,NORMAL,STRAY,89,0,3,13,3
GRAY TABBY,Neutered,4,5/17/19,UNDER AGE/WEIGHT,STRAY,89,16,2,14,3
BLACK,Spayed,4,10/5/19,UNDER AGE/WEIGHT,STRAY,89,0,3,14,3
ORANGE,Spayed,2,5/8/21,NORMAL,STRAY,89,21,3,13,3
GRAY,Spayed,2,6/4/21,NORMAL,STRAY,89,15,3,13,3
BLACK,Spayed,2,6/7/21,UNDER AGE/WEIGHT,STRAY,89,0,3,14,3
ORG TABBY,Neutered,9,3/24/18,NORMAL,OWNER SURRENDER,88,22,2,13,1
BLACK,Spayed,4,6/5/19,UNDER AGE/WEIGHT,STRAY,88,0,3,14,3
BLACK,Neutered,4,6/5/19,UNDER AGE/WEIGHT,STRAY,88,0,2,14,3
BLACK,Spayed,7,9/25/19,NORMAL,STRAY,88,0,3,13,3
BRN TABBY,Neutered,1,9/25/22,UNDER AGE/WEIGHT,STRAY,88,5,2,14,3
GRAY,Neutered,4,6/9/19,NORMAL,STRAY,87,15,2,13,3
WHITE,Spayed,4,8/25/19,UNDER AGE/WEIGHT,STRAY,87,32,3,14,3
WHITE,Spayed,6,9/18/19,NORMAL,STRAY,87,32,3,13,3
BRN TABBY,Spayed,1,4/19/22,UNDER AGE/WEIGHT,STRAY,87,5,3,14,3
CRM TABBY,Neutered,6,10/19/22,INJURED  MILD,STRAY,87,13,2,10,3
WHITE,Neutered,0,7/20/23,ILL MODERATETE,STRAY,87,32,2,8,3
LC LYNX PT,Neutered,10,2/23/17,NORMAL,OWNER SURRENDER,86,18,2,13,1
BLACK,Neutered,8,8/6/17,NORMAL,STRAY,86,0,2,13,3
CALICO,Female,8,11/19/17,NORMAL,STRAY,86,8,0,13,3
GRAY TABBY,Neutered,5,9/5/18,NORMAL,STRAY,86,16,2,13,3
TORTIE,Spayed,6,2/24/19,NORMAL,STRAY,86,29,3,13,3
CALICO TAB,Spayed,4,9/10/19,NORMAL,STRAY,86,10,3,13,3
BRN TABBY,Spayed,3,9/11/20,NORMAL,STRAY,86,5,3,13,3
BLACK,Neutered,4,9/11/20,BEHAVIOR  MODERATE,RETURN,86,0,2,2,2
BLACK,Neutered,1,10/12/22,NORMAL,STRAY,86,0,2,13,3
GRAY,Neutered,6,9/28/17,UNDER AGE/WEIGHT,STRAY,85,15,2,14,3
BLACK,Male,5,6/27/18,NORMAL,STRAY,85,0,1,13,3
BLACK,Male,4,8/8/19,FRACTIOUS,STRAY,85,0,1,5,3
TORBI,Spayed,4,9/13/19,UNDER AGE/WEIGHT,STRAY,85,28,3,14,3
TORBI,Spayed,4,9/13/19,UNDER AGE/WEIGHT,STRAY,85,28,3,14,3
CALICO,Spayed,8,6/2/20,NORMAL,CONFISCATE,85,8,3,13,0
ORANGE,Spayed,8,6/2/20,NORMAL,CONFISCATE,85,21,3,13,0
BLACK,Spayed,3,6/10/21,INJURED  MODERATE,STRAY,85,0,3,11,3
GRAY TABBY,Spayed,2,7/24/21,UNDER AGE/WEIGHT,STRAY,85,16,3,14,3
