Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A816481,*Pepper,01/27/2021 11:53:00 AM,Jan 2021,04/19/2017,Adoption,Foster,Cat,Spayed Female,3 years,Domestic Shorthair,Blue Tabby
A726206,Potato,06/30/2016 06:29:00 PM,Jun 2016,05/07/2014,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A754085,*Allison,10/31/2017 11:27:00 AM,Oct 2017,06/01/2017,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A809992,*June Bug,10/23/2020 09:13:00 AM,Oct 2020,12/03/2019,Adoption,Foster,Cat,Spayed Female,10 months,Domestic Shorthair,Black
A743620,Bastion,02/19/2017 06:33:00 PM,Feb 2017,02/13/2015,Adoption,,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A773329,*Avett,08/18/2018 01:53:00 PM,Aug 2018,04/30/2018,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A803988,Huey,10/27/2019 06:14:00 PM,Oct 2019,07/24/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby/White
A800816,*Willie,09/04/2019 06:02:00 PM,Sep 2019,08/04/2011,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair,Orange Tabby/White
A843774,*Greg,10/24/2021 04:10:00 PM,Oct 2021,07/18/2021,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A784228,,11/23/2018 05:07:00 PM,Nov 2018,08/21/2018,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby
A728583,*Nina,08/02/2016 06:54:00 PM,Aug 2016,05/09/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Brown Tabby
A805960,Machi,02/02/2020 03:55:00 PM,Feb 2020,10/04/2018,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Orange Tabby/White
A751189,*Durant,08/19/2017 04:11:00 PM,Aug 2017,04/12/2017,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A885027,*Chacha,09/19/2023 05:06:00 PM,Sep 2023,07/08/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A680798,*Scout,07/14/2014 06:19:00 PM,Jul 2014,04/20/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A822791,*Larry,11/17/2020 05:45:00 PM,Nov 2020,08/02/2020,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby/White
A688878,Jd,09/28/2014 05:33:00 PM,Sep 2014,07/31/2014,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby
A733428,*Hamilton,09/17/2016 02:10:00 PM,Sep 2016,05/30/2016,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Blue Tabby
A733532,*Kona,01/20/2017 07:30:00 AM,Jan 2017,08/23/2015,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby
A708034,*Bindi,08/27/2015 01:15:00 PM,Aug 2015,05/31/2015,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Flame Point
A801191,*Starburst,08/06/2019 05:40:00 PM,Aug 2019,05/17/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A788860,Georgy,03/11/2019 05:51:00 PM,Mar 2019,02/10/2018,Adoption,,Cat,Neutered Male,1 year,Domestic Longhair Mix,Blue
A864347,*Dorito,10/08/2022 11:37:00 AM,Oct 2022,07/24/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,White/Black
A727089,*Marquis,07/06/2016 06:42:00 PM,Jul 2016,05/11/2016,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby
A739274,Meg,12/31/2016 12:19:00 PM,Dec 2016,10/24/2016,Adoption,,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Calico/Black
A856868,*Beck,05/31/2022 11:39:00 AM,May 2022,03/09/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White
A727751,*Monsieur,08/09/2016 01:10:00 PM,Aug 2016,04/10/2016,Adoption,Foster,Cat,Neutered Male,3 months,Siamese Mix,Seal Point
A750732,,07/01/2017 06:27:00 PM,Jul 2017,05/10/2017,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A885024,*Rumba,09/19/2023 05:06:00 PM,Sep 2023,07/08/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A835329,A835329,07/13/2021 10:35:00 AM,Jul 2021,04/26/2021,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A878795,,04/25/2023 12:28:00 PM,Apr 2023,10/17/2022,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Blue/White
A775136,,07/01/2018 05:07:00 PM,Jul 2018,03/25/2018,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A759965,Ash,11/11/2017 12:47:00 PM,Nov 2017,10/10/2016,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
A688455,Alex,10/17/2014 07:24:00 PM,Oct 2014,08/19/2014,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A804916,Zelda,02/25/2020 10:07:00 AM,Feb 2020,03/20/2018,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Calico
A751560,*Hemi,08/16/2017 11:26:00 AM,Aug 2017,04/24/2017,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A841094,A841094,08/30/2021 05:45:00 PM,Aug 2021,05/20/2021,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A867168,*Han,11/26/2022 03:05:00 PM,Nov 2022,08/22/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Blue/White
A761726,,01/20/2018 01:22:00 PM,Jan 2018,10/13/2017,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A719997,*Sedona Bell,02/06/2016 02:38:00 PM,Feb 2016,01/31/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Blue Tabby/White
A615593,Tiger,09/23/2019 02:28:00 PM,Sep 2019,10/17/2011,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Tortie
A824028,,10/11/2020 04:55:00 PM,Oct 2020,10/05/2014,Adoption,,Cat,Neutered Male,6 years,Domestic Shorthair,Brown Tabby
A804350,*Marsha,10/16/2019 12:44:00 PM,Oct 2019,07/29/2019,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair,Black
A881013,*American Girl,06/23/2023 01:55:00 PM,Jun 2023,04/16/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A704203,,06/07/2015 06:34:00 PM,Jun 2015,03/26/2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A741829,*Sweetie,02/18/2017 02:01:00 PM,Feb 2017,12/09/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A886345,*Dorothy,09/19/2023 06:54:00 PM,Sep 2023,07/04/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,White/Black
A757606,Minato,09/09/2017 03:07:00 PM,Sep 2017,07/04/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A793845,,05/05/2019 04:21:00 PM,May 2019,12/30/2018,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue
A729900,*Charles,07/02/2016 02:36:00 PM,Jul 2016,06/25/2013,Adoption,,Cat,Neutered Male,3 years,Domestic Longhair Mix,Cream Tabby/White
A722303,*Tarleton,03/18/2016 04:53:00 PM,Mar 2016,03/14/2015,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A753245,*Ursula,09/08/2017 05:14:00 PM,Sep 2017,06/11/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A797201,*Charlton,06/22/2019 12:58:00 PM,Jun 2019,04/10/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A732492,,08/25/2016 10:22:00 PM,Aug 2016,02/08/2016,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,White
A749802,Frida,09/29/2017 06:14:00 PM,Sep 2017,05/19/2015,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A801986,Chino,08/29/2019 01:15:00 PM,Aug 2019,08/12/2017,Adoption,,Cat,Neutered Male,2 years,Siamese Mix,Seal Point
A835761,*Maple,06/19/2021 01:38:00 PM,Jun 2021,04/09/2021,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Calico
A710321,*Dottie,10/19/2015 06:24:00 PM,Oct 2015,07/21/2015,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A781883,*Benji,11/23/2018 10:29:00 AM,Nov 2018,09/15/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A712788,*Tito,11/13/2015 01:07:00 PM,Nov 2015,08/25/2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A822014,Z,09/09/2020 06:50:00 PM,Sep 2020,08/24/2014,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair,Black/White
A825933,*Nikto,02/27/2021 06:56:00 AM,Feb 2021,09/24/2020,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair,Black
A719347,Indy,01/22/2016 07:04:00 PM,Jan 2016,07/17/2013,Adoption,,Cat,Neutered Male,2 years,Snowshoe Mix,Lynx Point/White
A882669,Scratches,06/23/2023 05:17:00 PM,Jun 2023,04/07/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A798718,,07/07/2019 12:31:00 PM,Jul 2019,03/14/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A838308,Fusilli,07/13/2021 04:23:00 PM,Jul 2021,04/18/2021,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White
A768751,*Aries,05/25/2018 05:45:00 PM,May 2018,03/24/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue
A679119,Renee,05/20/2014 05:33:00 PM,May 2014,03/16/2014,Adoption,,Cat,Spayed Female,2 months,Manx Mix,Brown Tabby
A756963,Krystal,09/27/2017 03:47:00 PM,Sep 2017,08/28/2015,Adoption,,Cat,Spayed Female,2 years,American Shorthair Mix,Tortie/White
A858975,*Maui,07/18/2022 05:46:00 PM,Jul 2022,06/07/2018,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair,Orange Tabby
A734071,*Simone,11/28/2016 06:18:00 PM,Nov 2016,08/31/2014,Adoption,,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Black
A729025,*Alvin,07/09/2016 07:12:00 PM,Jul 2016,05/05/2016,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A843237,A843237,10/06/2021 05:34:00 PM,Oct 2021,07/06/2021,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A778248,Jax,12/30/2018 05:50:00 PM,Dec 2018,07/19/2018,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Cream Tabby/White
A711476,Cairo,09/28/2015 02:26:00 PM,Sep 2015,03/07/2015,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie
A806653,*Gumbo,12/14/2019 04:02:00 PM,Dec 2019,09/21/2019,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A880038,Chococat,06/23/2023 05:41:00 PM,Jun 2023,04/11/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A771268,*Pandora,06/20/2018 01:24:00 PM,Jun 2018,03/27/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Calico
A794319,Caesar,05/11/2019 05:08:00 PM,May 2019,05/06/2013,Adoption,,Cat,Neutered Male,6 years,Domestic Longhair Mix,Brown Tabby/White
A811455,Elrond,02/09/2020 10:48:00 AM,Feb 2020,01/04/2018,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Blue/White
A703617,*Sylvia,07/19/2015 05:34:00 PM,Jul 2015,04/21/2015,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A880910,Rocket,06/23/2023 04:01:00 PM,Jun 2023,04/15/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A854212,Biscuits,04/08/2022 03:11:00 PM,Apr 2022,10/31/2021,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
A654493,Suzi,12/27/2013 02:51:00 PM,Dec 2013,05/20/2000,Adoption,,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Calico
A722943,Angel,04/24/2016 12:34:00 PM,Apr 2016,09/24/2015,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
A573892,Oreo,12/30/2019 07:13:00 PM,Dec 2019,04/26/2010,Adoption,,Cat,Spayed Female,9 years,Domestic Longhair Mix,Black/White
A699968,Harley,05/03/2015 01:04:00 PM,May 2015,04/05/2012,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby/White
A742779,*Venus,02/23/2017 02:11:00 PM,Feb 2017,12/17/2016,Adoption,Foster,Cat,Spayed Female,2 months,Tonkinese Mix,Chocolate Point
A736641,*Pie,11/05/2016 04:15:00 PM,Nov 2016,10/14/2013,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby
A701585,*Charlie,06/03/2015 11:58:00 AM,Jun 2015,03/17/2015,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A663555,Amelia,10/16/2013 05:01:00 PM,Oct 2013,07/11/2013,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A880040,Bubbles,06/23/2023 05:42:00 PM,Jun 2023,04/11/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A880911,Lylla,06/23/2023 04:02:00 PM,Jun 2023,04/15/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby/White
A783198,,11/04/2018 02:53:00 PM,Nov 2018,08/26/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A707735,Oreo,09/07/2015 05:11:00 PM,Sep 2015,03/17/2015,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black/White
A728838,Bb,06/16/2016 05:35:00 PM,Jun 2016,04/09/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A707453,*Willow,07/19/2015 07:20:00 PM,Jul 2015,04/13/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A856995,,06/21/2022 08:47:00 AM,Jun 2022,04/20/2022,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair,Orange Tabby
A836145,*Lucas,07/15/2021 08:23:00 AM,Jul 2021,05/20/2021,Adoption,Foster,Cat,Neutered Male,1 month,Abyssinian Mix,Brown Tabby
A751794,Missy Girl,06/17/2017 10:05:00 PM,Jun 2017,04/13/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Tan
A789115,Lupe,03/26/2019 01:34:00 PM,Mar 2019,02/15/2015,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Black/White
A732924,Felix,09/05/2016 12:57:00 PM,Sep 2016,08/15/2015,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A702419,*Baxter,06/24/2015 12:00:00 PM,Jun 2015,04/14/2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A685220,*Nermal,10/09/2014 09:58:00 AM,Oct 2014,06/19/2014,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A812401,Larry,01/26/2020 04:23:00 PM,Jan 2020,01/22/2018,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange
A735899,Nas,10/11/2016 11:51:00 AM,Oct 2016,08/05/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A744334,,03/03/2017 05:35:00 PM,Mar 2017,11/27/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A840996,*Midnight,08/28/2021 07:08:00 PM,Aug 2021,04/18/2021,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Black/White
A664442,*Candy Corn,10/20/2013 04:58:00 PM,Oct 2013,08/12/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A510336,Hook,04/24/2015 02:53:00 PM,Apr 2015,04/25/2008,Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White
A775725,Leia,08/18/2018 10:34:00 AM,Aug 2018,04/26/2018,Adoption,,Cat,Intact Female,3 months,Domestic Longhair Mix,Black
A701887,Nemo,05/10/2015 06:41:00 PM,May 2015,01/21/2015,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A797484,Dusky,08/01/2019 07:08:00 PM,Aug 2019,04/22/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A692023,*Pumpkin,12/26/2014 05:02:00 PM,Dec 2014,10/13/2014,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair Mix,Orange Tabby
A775692,*Faith,10/04/2018 05:44:00 PM,Oct 2018,07/03/2018,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair Mix,Brown Tabby
A836395,Loki,06/21/2021 04:13:00 PM,Jun 2021,04/09/2021,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A806283,*Redding,12/05/2019 05:48:00 PM,Dec 2019,08/06/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A693746,Maggie,12/23/2014 01:38:00 PM,Dec 2014,12/13/2012,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A884190,*Wolfgang,09/20/2023 06:51:00 AM,Sep 2023,03/31/2023,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair,Brown Tabby
A724697,Neko,05/02/2016 12:47:00 PM,May 2016,04/20/2015,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A776846,,08/17/2018 04:15:00 PM,Aug 2018,04/05/2018,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Cream Tabby/White
A840933,*Orange Julius,09/25/2021 01:07:00 PM,Sep 2021,07/17/2021,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A705984,Cosmo,07/16/2015 06:15:00 PM,Jul 2015,05/16/2015,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby/White
A702197,*Dash,06/08/2015 04:59:00 PM,Jun 2015,04/03/2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A689563,*Raj,11/06/2014 10:05:00 AM,Nov 2014,08/30/2014,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A782622,Bali,10/25/2018 05:02:00 PM,Oct 2018,10/18/2017,Adoption,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Brown Tabby
A840126,*Scarlet,09/20/2021 01:31:00 PM,Sep 2021,07/11/2021,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A688843,*Jesse,10/22/2014 02:50:00 PM,Oct 2014,08/10/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Silver Tabby
A763578,Sasha,12/13/2017 12:37:00 PM,Dec 2017,09/26/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A775445,Ginger,08/11/2018 06:38:00 PM,Aug 2018,02/17/2018,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Cream Tabby/White
A748366,*Sheba,07/14/2017 05:57:00 PM,Jul 2017,05/02/2015,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A798224,Oreo,07/01/2019 03:59:00 PM,Jul 2019,05/01/2019,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black/White
A799889,Crystal,08/20/2019 11:29:00 AM,Aug 2019,05/20/2019,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Blue/White
A665590,*Marvin,11/12/2013 05:20:00 PM,Nov 2013,08/20/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A825680,,12/12/2020 01:17:00 PM,Dec 2020,09/24/2020,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A803927,Blaze,10/22/2019 05:51:00 PM,Oct 2019,07/29/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A822745,,01/07/2021 12:09:00 PM,Jan 2021,08/25/2020,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair,Orange Tabby
A840586,*Cerulean,10/04/2021 06:00:00 PM,Oct 2021,07/10/2021,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair,Blue Tabby/White
A700208,,06/20/2015 07:57:00 AM,Jun 2015,03/09/2015,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A866104,*Phoebe,10/03/2022 05:47:00 PM,Oct 2022,09/23/2021,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A669717,*Toonces,01/20/2014 06:19:00 PM,Jan 2014,11/19/2013,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A765897,*Praline,02/04/2018 11:57:00 AM,Feb 2018,01/29/2017,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A797659,*Lenny,09/02/2019 06:07:00 PM,Sep 2019,05/25/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A705250,*Nathan,10/11/2015 06:21:00 PM,Oct 2015,03/15/2015,Adoption,Foster,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
A845396,*Zoey,11/20/2021 01:41:00 PM,Nov 2021,09/14/2021,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A732865,Smokey,10/02/2016 02:59:00 PM,Oct 2016,08/14/2014,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black Tabby
A778627,Moka,08/21/2018 04:49:00 PM,Aug 2018,05/17/2018,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A737040,Pancho,10/29/2016 03:39:00 PM,Oct 2016,08/10/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A722967,*Pokey,08/20/2020 05:33:00 PM,Aug 2020,03/24/2014,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Tortie
A793781,Missy,07/13/2019 03:03:00 PM,Jul 2019,04/29/2018,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A724681,Stevie,05/07/2016 05:09:00 PM,May 2016,03/06/2016,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A833207,*Armani,07/30/2021 02:35:00 PM,Jul 2021,04/01/2021,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A804547,,09/22/2019 07:15:00 PM,Sep 2019,07/15/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A751820,Tootsie,10/07/2017 03:09:00 PM,Oct 2017,06/13/2012,Adoption,,Cat,Spayed Female,5 years,Persian Mix,Black
A792954,*Ciabatta,07/03/2019 08:16:00 AM,Jul 2019,03/17/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Brown Tabby
A799603,,09/26/2019 10:30:00 AM,Sep 2019,06/18/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
A837976,Michy,07/06/2021 05:54:00 PM,Jul 2021,09/01/2020,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Tortie
A797745,,06/30/2019 02:39:00 PM,Jun 2019,04/02/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A740427,*Cori,12/27/2016 04:22:00 PM,Dec 2016,05/17/2016,Adoption,,Cat,Spayed Female,7 months,Domestic Medium Hair Mix,Tortie/Black
A727719,*Curry,06/03/2016 02:10:00 PM,Jun 2016,05/25/2015,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A777481,,08/02/2018 04:47:00 PM,Aug 2018,05/29/2018,Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A733682,*Miranda,09/23/2016 07:00:00 PM,Sep 2016,08/25/2014,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A749206,*Fluff,07/18/2017 08:55:00 AM,Jul 2017,04/12/2017,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue/White
A839788,*Peter,08/03/2021 10:51:00 AM,Aug 2021,05/12/2021,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A779141,,09/03/2018 11:38:00 AM,Sep 2018,04/26/2018,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A667668,Presley,11/30/2013 05:27:00 PM,Nov 2013,09/21/2013,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby
A751426,*Buffy,07/15/2017 05:03:00 PM,Jul 2017,05/08/2017,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A723944,Fuzz,04/12/2016 05:23:00 PM,Apr 2016,04/09/2009,Adoption,,Cat,Neutered Male,7 years,Norwegian Forest Cat Mix,Blue/White
A708496,*Stella,11/19/2015 05:57:00 PM,Nov 2015,07/28/2013,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A687105,Rico,10/29/2014 05:35:00 PM,Oct 2014,08/31/2012,Adoption,,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
A666867,Louie,12/04/2013 01:28:00 PM,Dec 2013,11/08/2012,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A836216,A836216,06/15/2021 04:29:00 PM,Jun 2021,03/16/2021,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A779286,,09/18/2018 01:15:00 PM,Sep 2018,07/26/2018,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue
A787662,Lovie,02/03/2019 04:29:00 PM,Feb 2019,01/17/2017,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie Point
A759461,,11/11/2017 03:22:00 PM,Nov 2017,09/02/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
