Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
SWEETIE,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,10/14/2007,K15-016384,49ERPET,A328291,10/14/2015,12/30/2015,77,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*MARK,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/19/2018,K18-028808,LOBBY,A374289,06/26/2018,08/25/2018,60,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*LUKE,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,KITTN,03/15/2021,K21-038520,CA03,A404807,05/22/2021,05/27/2021,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954,"94954(38.263265, -122.641035)",1
CHOPPY,CAT,DOMESTIC SH,BUFF,Neutered,SMALL,01/03/2011,K14-007238,CA02,A301166,01/03/2014,01/14/2014,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*ROHNERT PARK,COUNTY,95462,"95462(38.46819, -123.01142)",1
*ASHLEY,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,04/10/2015,K15-014610,CA03,A323273,06/25/2015,06/30/2015,5,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*MILO,CAT,SIAMESE,FLAME PT,Neutered,KITTN,03/07/2023,K23-044462,LOBBY,A416915,04/22/2023,05/12/2023,20,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95451,"95451(38.9769509, -122.8339173)",1
*HOMER,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,04/04/2016,K16-021023,CA02,A343185,10/04/2016,10/15/2016,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*JESSIE,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,04/07/2019,K19-032505,MAC,A388056,06/07/2019,06/22/2019,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,MOB EVENT,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
PEARL,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,04/15/2019,K19-032627,CA03,A388722,06/15/2019,07/03/2019,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
*ROSE,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,07/30/2020,K20-036712,WESTFARM,A400377,09/11/2020,11/03/2020,53,STRAY,PHONE,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
EVEREST,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,12/26/2015,K17-026559,CA02,A365294,12/05/2017,12/28/2017,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*BILLY,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,08/14/2015,K16-017468,LOBBY,A331916,01/14/2016,02/05/2016,22,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94952,"94952(38.237, -122.640695)",1
*SAMMY,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,09/16/2014,K14-011982,CI01,A314654,12/05/2014,01/02/2015,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
FREYA,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,07/25/2014,K14-010322,LOBBY,A310243,08/16/2014,10/17/2014,62,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*MILLI,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,07/04/2019,K19-033326,LOBBY,A390384,08/15/2019,09/28/2019,44,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
DELILAH,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,02/03/2018,K18-027863,LOBBY,A370910,04/17/2018,04/19/2018,2,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*JORDAN,CAT,DOMESTIC LH,GRAY/WHITE,Neutered,KITTN,03/29/2017,K17-022981,LOBBY,A350377,03/31/2017,06/10/2017,71,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
MIDNIGHT,CAT,DOMESTIC SH,BLACK,Neutered,MED,03/22/2009,K15-013567,WESTFARM,A234209,04/14/2015,04/23/2015,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*WINDSOR,*ROHNERT PARK,97224,"97224(45.402935, -122.80397)",1
*PRANCER,CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,KITTN,10/05/2019,K19-034744,LOBBY,A394221,12/05/2019,12/14/2019,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,OTH_MEDIA,UNKNOWN,PENDING,SANTA ROSA,*PETALUMA,94952,"94952(38.237, -122.640695)",1
*HARRY,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,05/26/2009,K16-018750,CS05,A238320,05/06/2016,06/07/2016,32,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
COOKIE,CAT,DOMESTIC MH,BLUE CREAM,Spayed,KITTN,05/24/2015,K15-015082,TX,A324638,07/24/2015,08/19/2015,26,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*ATHENA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,03/27/2018,K19-031734,CA02,A385041,03/20/2019,03/30/2019,10,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
LUCAS,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,05/06/2012,K15-013808,CS05,A321340,05/06/2015,07/08/2015,63,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
*RICKY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,07/27/2014,K14-010752,CA02,A311497,09/11/2014,09/19/2014,8,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1
*THELMA,CAT,DOMESTIC LH,GRAY/WHITE,Spayed,KITTN,09/10/2016,K17-022174,LOBBY,A347028,01/10/2017,01/24/2017,14,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
*HEIDI,CAT,SIAMESE,SEAL PT,Spayed,SMALL,05/23/2013,K15-014114,CS04,A322373,05/23/2015,05/30/2015,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
LOLLY,CAT,DOMESTIC SH,TORTIE/WHITE,Spayed,SMALL,06/20/2014,K15-014268,CS04,A322617,06/03/2015,07/01/2015,28,STRAY,VET_HOSP,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,92310,"92310(35.258625100000074, -116.70052199999998)",1
*BILL,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,05/14/2016,K16-019928,CS04,A340075,07/23/2016,08/04/2016,12,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95401,"95401(38.44366000000008, -122.72461629999998)",1
*AURORA,CAT,DOMESTIC MH,BLACK,Spayed,KITTN,06/06/2017,K17-023859,WESTFARM,A353872,06/07/2017,08/18/2017,72,STRAY,BORN_HERE,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
LUNA,CAT,DOMESTIC SH,CHOCOLATE,Spayed,SMALL,11/17/2018,K20-037365,CA02,A401440,11/17/2020,03/04/2021,107,STRAY,PHONE,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
KILI,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,08/06/2014,K14-011638,49ERPET,A313505,11/06/2014,11/23/2014,17,STRAY,COMM CAT,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
BOBBY JOE,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,KITTN,08/07/2016,K16-020347,CS04,A341163,08/18/2016,10/27/2016,70,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*FERGUS,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,KITTN,08/04/2019,K19-034013,WESTFARM,A392051,10/04/2019,10/15/2019,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*GIGI,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,08/25/2018,K18-030819,LOBBY,A381690,12/06/2018,12/19/2018,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*PETALUMA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
BISCUIT,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,06/16/2013,K17-023962,CA02,A354061,06/16/2017,07/13/2017,27,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*BARNEY,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,KITTN,04/15/2014,K14-009499,LOBBY,A308353,06/26/2014,07/02/2014,6,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1
*JERRY,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,07/23/2016,K16-021385,LOBBY,A344669,10/29/2016,11/23/2016,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95422,"95422(38.9560273, -122.6373628)",1
*ALEXA,CAT,DOMESTIC SH,BLUE CREAM,Spayed,KITTN,08/05/2022,K22-042671,LOBBY,A413466,09/30/2022,10/27/2022,27,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
IZZY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,08/27/2014,K14-011245,49ERPET,A312717,10/14/2014,11/18/2014,35,STRAY,OVER THE COUNTER,ADOPTION,49ER PET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*PETALUMA,94954,"94954(38.263265, -122.641035)",1
*ROCKY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,07/14/2013,K15-014935,CS04,A324320,07/14/2015,08/13/2015,30,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94515,"94515(38.5818482, -122.5799026)",1
RAJA,CAT,DOMESTIC LH,BRN TABBY,Spayed,KITTN,07/29/2019,K19-033525,LOBBY,A391024,08/29/2019,10/12/2019,44,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*PETALUMA,94952,"94952(38.237, -122.640695)",1
*BILLY,CAT,DOMESTIC MH,ORG TABBY/WHITE,Neutered,KITTN,08/06/2016,K16-020689,CS04,A342082,09/08/2016,10/14/2016,36,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,,,1
BAGHEERA,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,05/06/2017,K18-030379,CA02,A378487,10/23/2018,11/15/2018,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
PEANUT,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,03/28/2015,K15-013724,LOBBY,A321135,04/28/2015,05/29/2015,31,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
AURELIUS,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,08/26/2022,K22-043114,LOBBY,A414114,11/10/2022,12/10/2022,30,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
RASCAL,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,04/24/2015,K15-014589,WESTFARM,A323244,06/24/2015,07/09/2015,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.4127094, -122.7412153)",1
*CASSIE,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/17/2014,K14-009586,DEBBIES,A308655,07/01/2014,09/06/2014,67,STRAY,OVER THE COUNTER,ADOPTION,DEBBIE BTQ,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*FEZZIK,CAT,DOMESTIC SH,BUFF/WHITE,Neutered,SMALL,03/23/2018,K18-028561,LOBBY,A373566,06/05/2018,06/12/2018,7,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*GINGKO,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,07/28/2019,K19-033134,CA03,A390001,07/30/2019,10/03/2019,65,STRAY,BORN_HERE,ADOPTION,REFERRAL-F,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
TOMMY,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,07/01/2017,K17-025153,CA02,A360549,09/01/2017,11/09/2017,69,STRAY,FIELD,ADOPTION,REFERRAL-V,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
PICKLES,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,04/23/2015,K15-013879,LOBBY,A321464,05/08/2015,07/07/2015,60,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*GUY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,01/10/2017,K18-028835,CA02,A374334,06/28/2018,07/14/2018,16,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*ALLIE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,08/03/2017,K17-026168,LOBBY,A363847,11/03/2017,11/17/2017,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95446,"95446(38.503755, -122.993485)",1
BLIND CAT,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,04/17/2000,K14-008506,SMM,A305461,04/17/2014,04/24/2014,7,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*BUDDHA,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,09/10/2014,K14-011265,LOBBY,A312746,10/15/2014,11/22/2014,38,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*LUCY,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,07/30/2016,K16-021743,CA02,A345763,11/30/2016,12/09/2016,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*NICK,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,04/13/2015,K15-014173,LOBBY,A322470,05/28/2015,08/22/2015,86,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*ABE,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,SMALL,04/27/2021,K21-039052,CA03,A405862,07/14/2021,08/04/2021,21,STRAY,PHONE,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*JAIME,CAT,DOMESTIC SH,SLVR TABBY,Spayed,SMALL,04/18/2017,K17-025312,LOBBY,A360898,09/13/2017,09/22/2017,9,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.47872000000007, -122.890155)",1
*GRAY,CAT,DOMESTIC MH,GRAY TABBY/WHITE,Spayed,KITTN,04/26/2019,K19-033879,CA02,A391795,09/26/2019,10/05/2019,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
MITTENS,CAT,DOMESTIC MH,BLACK/WHITE,Spayed,SMALL,08/09/2013,K19-031962,SMM,A296343,04/16/2019,04/27/2019,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL-F,UNKNOWN,PENDING,COUNTY,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
SHADOW,CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,05/23/2006,K15-016585,CS04,A215232,10/28/2015,11/14/2015,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
MILO,CAT,DOMESTIC SH,BUFF,Neutered,SMALL,03/07/2006,K14-007989,CI01,A303684,03/07/2014,04/01/2014,25,TRANSFER,RESCUE_GRP,ADOPTION,INTERNET,HEALTHY,HEALTHY,OUT OF COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*BISCUIT,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,07/17/2022,K22-042459,LOBBY,A413163,09/15/2022,10/29/2022,44,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
THUMPER,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,08/11/2014,K14-010762,WESTFARM,A311512,09/11/2014,10/20/2014,39,STRAY,COMM CAT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*ANGELICA,CAT,DOMESTIC SH,GRAY TABBY/TORTIE,Spayed,KITTN,05/13/2016,K16-020287,CS04,A340823,08/13/2016,08/26/2016,13,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95465,"95465(38.4062, -122.947145)",1
LUNA,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,07/11/2014,K14-010751,CA02,A311496,09/11/2014,09/18/2014,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*SANDY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,05/01/2017,K17-024391,MOBILE,A355502,07/13/2017,08/05/2017,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,MOB EVENT,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
OSWALD,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,06/27/2019,K19-033594,LOBBY,A391148,09/05/2019,09/13/2019,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
*GAVIN,CAT,DOMESTIC SH,SLVR TABBY,Neutered,KITTN,02/19/2021,K21-038120,CA03,A403269,03/25/2021,04/21/2021,27,OWNER SURRENDER,OVER THE COUNTER_OS,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
STRIPEY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,04/24/2013,K15-013682,WESTFARM,A321056,04/24/2015,05/07/2015,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
GARY,CAT,DOMESTIC MH,GRAY/WHITE,Neutered,LARGE,01/06/2010,K17-022137,CA02,A346956,01/06/2017,02/28/2017,53,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*RUBY,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,03/03/2019,K19-032266,LOBBY,A387077,05/18/2019,05/24/2019,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
*WILLIE,CAT,DOMESTIC MH,BRN TABBY,Neutered,SMALL,04/01/2005,K14-008581,CS05,A021412,04/24/2014,05/07/2014,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541355, -122.80026)",1
*JACKSON,CAT,DOMESTIC LH,BRN TABBY/WHITE,Neutered,KITTN,03/23/2017,K17-023817,LOBBY,A353602,06/07/2017,06/13/2017,6,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-V,TREATABLE/REHAB,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.79895, -123.01762)",1
*JOLEEN,CAT,DOMESTIC MH,BRN TABBY,Spayed,KITTN,06/03/2014,K14-010437,WESTFARM,A310538,08/22/2014,09/05/2014,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*SPRINKLES,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,06/01/2014,K14-010978,CA02,A312096,09/25/2014,10/02/2014,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.47164440000006, -122.7398255)",1
*ONYX,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,04/30/2023,K23-044836,CA02,A417805,05/25/2023,07/18/2023,54,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,,94903,"94903(38.012395, -122.543135)",1
TILLIE,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,05/17/2022,K22-042035,LOBBY,A412548,07/21/2022,08/20/2022,30,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
ACE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/27/2014,K14-010266,LOBBY,A310114,08/13/2014,12/12/2014,121,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
*KYLE,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/06/2015,K15-014483,LOBBY,A323010,06/17/2015,06/24/2015,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.613965, -122.869825)",1
*MARTY,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,09/15/2018,K18-030730,LOBBY,A380857,11/27/2018,12/04/2018,7,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
DILLON,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,10/22/2010,K14-010306,CA02,A310203,08/15/2014,10/22/2014,68,TRANSFER,VET_HOSP,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.613965, -122.869825)",1
*BOOTIE,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,KITTN,04/18/2019,K19-032169,LOBBY,A386850,05/10/2019,07/03/2019,54,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.349330000000066, -122.69227999999998)",1
CASSIE,CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,12/29/2011,K17-024175,WESTFARM,A354573,06/29/2017,07/30/2017,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95401,"95401(38.44366000000008, -122.72461629999998)",1
