simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
TABBY,FEMALE,7,NORMAL,STRAY,31,3,0,3,2
BLACK,FEMALE,6,NORMAL,OWNER SURRENDER,34,0,0,3,1
TABBY,MALE,6,NORMAL,STRAY,128,3,1,3,2
BLACK,MALE,9,NORMAL,STRAY,57,0,1,3,2
OTHER,FEMALE,9,NORMAL,STRAY,30,2,0,3,2
WHITE,FEMALE,6,NORMAL,STRAY,38,4,0,3,2
WHITE,MALE,6,NORMAL,STRAY,13,4,1,3,2
TABBY,MALE,8,NORMAL,STRAY,43,3,1,3,2
WHITE,MALE,8,NORMAL,STRAY,77,4,1,3,2
WHITE,MALE,10,NORMAL,STRAY,26,4,1,3,2
TABBY,FEMALE,6,NORMAL,STRAY,6,3,0,3,2
OTHER,FEMALE,6,UNDER WEIGHT,STRAY,30,2,0,5,2
BLACK,FEMALE,6,UNDER WEIGHT,STRAY,32,0,0,5,2
BLACK,MALE,6,UNDER WEIGHT,STRAY,58,0,1,5,2
GRAY,FEMALE,6,NORMAL,STRAY,11,1,0,3,2
GRAY,MALE,6,NORMAL,STRAY,13,1,1,3,2
OTHER,FEMALE,6,NORMAL,STRAY,11,2,0,3,2
TABBY,MALE,6,UNDER WEIGHT,STRAY,43,3,1,5,2
BLACK,FEMALE,6,OTHER,STRAY,16,0,0,4,2
WHITE,FEMALE,6,NORMAL,STRAY,7,4,0,3,2
OTHER,FEMALE,8,NORMAL,STRAY,86,2,0,3,2
WHITE,FEMALE,6,NORMAL,STRAY,14,4,0,3,2
BLACK,FEMALE,6,NORMAL,STRAY,8,0,0,3,2
GRAY,MALE,6,NORMAL,OWNER SURRENDER,6,1,1,3,1
BLACK,MALE,6,NORMAL,STRAY,26,0,1,3,2
OTHER,FEMALE,8,NORMAL,STRAY,72,2,0,3,2
OTHER,FEMALE,6,NORMAL,STRAY,57,2,0,3,2
BLACK,MALE,9,NORMAL,STRAY,74,0,1,3,2
BLACK,MALE,8,NORMAL,STRAY,9,0,1,3,2
BLACK,FEMALE,12,NORMAL,OWNER SURRENDER,24,0,0,3,1
BLACK,MALE,6,OTHER,STRAY,7,0,1,4,2
TABBY,MALE,8,NORMAL,STRAY,176,3,1,3,2
OTHER,FEMALE,10,ILL SEVERE,OWNER SURRENDER,124,2,0,1,1
OTHER,FEMALE,5,NORMAL,STRAY,5,2,0,3,2
TABBY,MALE,5,NORMAL,STRAY,4,3,1,3,2
TABBY,MALE,5,NORMAL,STRAY,14,3,1,3,2
TABBY,MALE,5,NORMAL,STRAY,11,3,1,3,2
OTHER,MALE,5,NORMAL,OWNER SURRENDER,4,2,1,3,1
TABBY,FEMALE,5,UNDER WEIGHT,STRAY,22,3,0,5,2
TABBY,MALE,11,NORMAL,OTHER,83,3,1,3,0
TABBY,MALE,5,NORMAL,STRAY,140,3,1,3,2
BLACK,MALE,5,NORMAL,STRAY,60,0,1,3,2
BLACK,MALE,9,NORMAL,STRAY,4,0,1,3,2
BLACK,MALE,5,NORMAL,STRAY,85,0,1,3,2
GRAY,MALE,5,NORMAL,STRAY,9,1,1,3,2
BLACK,FEMALE,5,UNDER WEIGHT,STRAY,50,0,0,5,2
WHITE,MALE,6,NORMAL,OWNER SURRENDER,34,4,1,3,1
TABBY,FEMALE,5,OTHER,STRAY,146,3,0,4,2
BLACK,MALE,5,NORMAL,OTHER,30,0,1,3,0
BLACK,FEMALE,7,NORMAL,STRAY,89,0,0,3,2
TABBY,MALE,5,NORMAL,STRAY,12,3,1,3,2
BLACK,MALE,5,OTHER,STRAY,67,0,1,4,2
OTHER,MALE,5,NORMAL,STRAY,55,2,1,3,2
TABBY,MALE,5,NORMAL,STRAY,44,3,1,3,2
OTHER,FEMALE,7,NORMAL,STRAY,56,2,0,3,2
TABBY,MALE,5,NORMAL,STRAY,34,3,1,3,2
WHITE,MALE,6,NORMAL,OWNER SURRENDER,36,4,1,3,1
BLACK,MALE,5,NORMAL,STRAY,109,0,1,3,2
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,120,0,0,3,1
OTHER,MALE,5,NORMAL,STRAY,130,2,1,3,2
GRAY,MALE,7,NORMAL,STRAY,21,1,1,3,2
BLACK,MALE,5,OTHER,STRAY,44,0,1,4,2
TABBY,MALE,5,INJURED,STRAY,48,3,1,2,2
BLACK,MALE,14,NORMAL,OWNER SURRENDER,14,0,1,3,1
WHITE,MALE,12,OTHER,STRAY,77,4,1,4,2
WHITE,FEMALE,12,OTHER,OWNER SURRENDER,80,4,0,4,1
OTHER,FEMALE,14,NORMAL,OWNER SURRENDER,7,2,0,3,1
OTHER,FEMALE,5,NORMAL,STRAY,3,2,0,3,2
TABBY,FEMALE,5,NORMAL,STRAY,5,3,0,3,2
GRAY,FEMALE,5,NORMAL,STRAY,10,1,0,3,2
OTHER,FEMALE,5,OTHER,STRAY,43,2,0,4,2
BLACK,FEMALE,7,NORMAL,STRAY,57,0,0,3,2
WHITE,FEMALE,5,NORMAL,STRAY,72,4,0,3,2
WHITE,FEMALE,6,NORMAL,STRAY,25,4,0,3,2
GRAY,MALE,8,NORMAL,STRAY,98,1,1,3,2
WHITE,FEMALE,9,NORMAL,OWNER SURRENDER,287,4,0,3,1
TABBY,FEMALE,5,NORMAL,OWNER SURRENDER,42,3,0,3,1
OTHER,MALE,4,NORMAL,STRAY,6,2,1,3,2
BLACK,MALE,6,NORMAL,STRAY,17,0,1,3,2
OTHER,FEMALE,7,OTHER,STRAY,44,2,0,4,2
WHITE,MALE,7,NORMAL,STRAY,16,4,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,115,3,0,3,2
WHITE,MALE,7,OTHER,STRAY,23,4,1,4,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,22,3,1,5,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,27,0,0,5,2
BLACK,FEMALE,4,NORMAL,STRAY,33,0,0,3,2
GRAY,MALE,4,UNDER WEIGHT,STRAY,197,1,1,5,2
BLACK,MALE,4,NORMAL,STRAY,70,0,1,3,2
BLACK,FEMALE,4,NORMAL,STRAY,63,0,0,3,2
TABBY,MALE,4,OTHER,STRAY,143,3,1,4,2
BLACK,FEMALE,4,ILL MILD,STRAY,200,0,0,0,2
BLACK,MALE,8,NORMAL,STRAY,15,0,1,3,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,88,0,0,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,88,0,1,5,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,54,3,0,5,2
TABBY,MALE,4,NORMAL,STRAY,11,3,1,3,2
GRAY,FEMALE,4,OTHER,STRAY,248,1,0,4,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,6,3,1,5,2
TABBY,FEMALE,4,NORMAL,STRAY,25,3,0,3,2
TABBY,FEMALE,4,NORMAL,STRAY,82,3,0,3,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,55,0,0,5,2
BLACK,FEMALE,4,NORMAL,STRAY,176,0,0,3,2
GRAY,MALE,4,NORMAL,STRAY,203,1,1,3,2
TABBY,MALE,4,NORMAL,STRAY,49,3,1,3,2
OTHER,FEMALE,4,NORMAL,STRAY,3,2,0,3,2
TABBY,MALE,4,NORMAL,STRAY,42,3,1,3,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,161,0,1,5,2
OTHER,MALE,4,ILL SEVERE,STRAY,43,2,1,1,2
OTHER,FEMALE,4,NORMAL,STRAY,33,2,0,3,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,57,3,0,5,2
WHITE,FEMALE,4,NORMAL,STRAY,111,4,0,3,2
TABBY,FEMALE,6,NORMAL,STRAY,33,3,0,3,2
TABBY,MALE,4,NORMAL,STRAY,57,3,1,3,2
TABBY,MALE,4,NORMAL,STRAY,4,3,1,3,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,44,0,0,5,2
GRAY,MALE,11,NORMAL,OWNER SURRENDER,107,1,1,3,1
OTHER,FEMALE,4,NORMAL,STRAY,21,2,0,3,2
BLACK,MALE,4,NORMAL,STRAY,144,0,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,72,3,0,3,2
TABBY,FEMALE,4,NORMAL,STRAY,23,3,0,3,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,7,3,1,5,2
TABBY,MALE,4,NORMAL,STRAY,142,3,1,3,2
TABBY,MALE,4,ILL SEVERE,STRAY,156,3,1,1,2
TABBY,FEMALE,4,ILL SEVERE,STRAY,136,3,0,1,2
BLACK,FEMALE,4,NORMAL,STRAY,49,0,0,3,2
OTHER,FEMALE,4,NORMAL,STRAY,23,2,0,3,2
TABBY,FEMALE,5,OTHER,STRAY,5,3,0,4,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,212,0,0,5,2
WHITE,FEMALE,4,UNDER WEIGHT,STRAY,87,4,0,5,2
WHITE,MALE,4,UNDER WEIGHT,STRAY,76,4,1,5,2
OTHER,MALE,7,NORMAL,STRAY,9,2,1,3,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,105,0,1,5,2
GRAY,MALE,4,INJURED,STRAY,80,1,1,2,2
BLACK,MALE,4,NORMAL,STRAY,110,0,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,100,3,0,3,2
BLACK,FEMALE,4,NORMAL,STRAY,83,0,0,3,2
TABBY,MALE,4,NORMAL,STRAY,21,3,1,3,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,22,3,0,5,2
TABBY,MALE,4,NORMAL,STRAY,116,3,1,3,2
TABBY,MALE,7,ILL MILD,OWNER SURRENDER,71,3,1,0,1
TABBY,MALE,4,NORMAL,STRAY,80,3,1,3,2
TABBY,MALE,4,OTHER,STRAY,41,3,1,4,2
BLACK,MALE,4,NORMAL,STRAY,83,0,1,3,2
TABBY,FEMALE,4,NORMAL,OTHER,35,3,0,3,0
TABBY,MALE,4,UNDER WEIGHT,STRAY,43,3,1,5,2
OTHER,FEMALE,0,NORMAL,STRAY,6,2,0,3,2
OTHER,MALE,0,NORMAL,STRAY,6,2,1,3,2
BLACK,MALE,0,ILL MILD,STRAY,6,0,1,0,2
GRAY,MALE,7,OTHER,STRAY,50,1,1,4,2
TABBY,FEMALE,4,NORMAL,STRAY,92,3,0,3,2
TABBY,MALE,4,ILL SEVERE,STRAY,119,3,1,1,2
WHITE,MALE,4,NORMAL,OWNER SURRENDER,42,4,1,3,1
OTHER,FEMALE,4,NORMAL,STRAY,98,2,0,3,2
OTHER,MALE,5,NORMAL,OWNER SURRENDER,6,2,1,3,1
TABBY,MALE,4,NORMAL,STRAY,47,3,1,3,2
OTHER,FEMALE,5,NORMAL,STRAY,95,2,0,3,2
OTHER,FEMALE,14,NORMAL,OWNER SURRENDER,108,2,0,3,1
BLACK,FEMALE,4,NORMAL,STRAY,14,0,0,3,2
OTHER,FEMALE,4,NORMAL,STRAY,25,2,0,3,2
TABBY,MALE,4,NORMAL,STRAY,10,3,1,3,2
BLACK,FEMALE,4,NORMAL,STRAY,18,0,0,3,2
GRAY,FEMALE,4,NORMAL,OWNER SURRENDER,15,1,0,3,1
GRAY,FEMALE,6,NORMAL,STRAY,20,1,0,3,2
TABBY,FEMALE,4,ILL MILD,STRAY,19,3,0,0,2
WHITE,MALE,6,OTHER,STRAY,62,4,1,4,2
TABBY,MALE,4,NORMAL,STRAY,9,3,1,3,2
BLACK,MALE,5,NORMAL,STRAY,55,0,1,3,2
GRAY,MALE,5,OTHER,STRAY,7,1,1,4,2
OTHER,FEMALE,9,ILL SEVERE,OWNER SURRENDER,43,2,0,1,1
BLACK,FEMALE,4,NORMAL,STRAY,14,0,0,3,2
BLACK,MALE,5,OTHER,STRAY,36,0,1,4,2
TABBY,MALE,4,ILL SEVERE,STRAY,136,3,1,1,2
OTHER,FEMALE,5,NORMAL,STRAY,8,2,0,3,2
OTHER,MALE,3,UNDER WEIGHT,STRAY,19,2,1,5,2
WHITE,MALE,6,NORMAL,OWNER SURRENDER,20,4,1,3,1
BLACK,FEMALE,5,ILL MILD,STRAY,12,0,0,0,2
OTHER,MALE,3,NORMAL,STRAY,127,2,1,3,2
BLACK,FEMALE,3,NORMAL,STRAY,1,0,0,3,2
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,54,0,0,3,1
OTHER,FEMALE,8,NORMAL,OTHER,85,2,0,3,0
WHITE,FEMALE,3,OTHER,STRAY,10,4,0,4,2
BLACK,MALE,8,OTHER,STRAY,40,0,1,4,2
TABBY,FEMALE,3,NORMAL,STRAY,37,3,0,3,2
BLACK,MALE,3,NORMAL,STRAY,40,0,1,3,2
GRAY,FEMALE,6,NORMAL,OWNER SURRENDER,25,1,0,3,1
TABBY,FEMALE,6,NORMAL,OWNER SURRENDER,57,3,0,3,1
OTHER,MALE,7,INJURED,STRAY,41,2,1,2,2
OTHER,FEMALE,3,NORMAL,STRAY,15,2,0,3,2
BLACK,MALE,3,NORMAL,STRAY,19,0,1,3,2
BLACK,MALE,12,OTHER,OWNER SURRENDER,20,0,1,4,1
TABBY,FEMALE,3,NORMAL,STRAY,10,3,0,3,2
OTHER,FEMALE,3,OTHER,STRAY,7,2,0,4,2
GRAY,FEMALE,3,ILL MILD,STRAY,34,1,0,0,2
TABBY,FEMALE,3,OTHER,STRAY,15,3,0,4,2
OTHER,FEMALE,3,UNDER WEIGHT,STRAY,17,2,0,5,2
TABBY,FEMALE,3,UNDER WEIGHT,STRAY,124,3,0,5,2
OTHER,FEMALE,3,NORMAL,STRAY,18,2,0,3,2
TABBY,MALE,3,OTHER,STRAY,25,3,1,4,2
BLACK,MALE,3,NORMAL,OWNER SURRENDER,149,0,1,3,1
OTHER,MALE,3,NORMAL,STRAY,3,2,1,3,2
TABBY,MALE,3,INJURED,STRAY,34,3,1,2,2
TABBY,MALE,5,NORMAL,STRAY,171,3,1,3,2
GRAY,FEMALE,3,NORMAL,STRAY,34,1,0,3,2
GRAY,MALE,3,NORMAL,STRAY,36,1,1,3,2
GRAY,FEMALE,3,NORMAL,STRAY,37,1,0,3,2
OTHER,MALE,3,NORMAL,STRAY,3,2,1,3,2
BLACK,FEMALE,3,NORMAL,STRAY,34,0,0,3,2
BLACK,MALE,4,NORMAL,STRAY,12,0,1,3,2
OTHER,FEMALE,3,UNDER WEIGHT,STRAY,4,2,0,5,2
TABBY,MALE,13,OTHER,STRAY,9,3,1,4,2
OTHER,FEMALE,5,OTHER,STRAY,41,2,0,4,2
GRAY,MALE,3,NORMAL,STRAY,24,1,1,3,2
OTHER,FEMALE,5,NORMAL,STRAY,57,2,0,3,2
OTHER,FEMALE,3,NORMAL,STRAY,35,2,0,3,2
OTHER,FEMALE,3,UNDER WEIGHT,STRAY,84,2,0,5,2
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,33,2,0,3,1
BLACK,MALE,3,NORMAL,STRAY,17,0,1,3,2
GRAY,FEMALE,4,INJURED,STRAY,34,1,0,2,2
BLACK,MALE,3,OTHER,STRAY,17,0,1,4,2
OTHER,FEMALE,3,UNDER WEIGHT,STRAY,1,2,0,5,2
BLACK,FEMALE,3,ILL MILD,STRAY,27,0,0,0,2
OTHER,MALE,6,NORMAL,OWNER SURRENDER,13,2,1,3,1
BLACK,FEMALE,3,NORMAL,STRAY,6,0,0,3,2
BLACK,MALE,14,OTHER,STRAY,8,0,1,4,2
TABBY,FEMALE,5,NORMAL,STRAY,54,3,0,3,2
TABBY,MALE,5,NORMAL,STRAY,17,3,1,3,2
TABBY,MALE,3,OTHER,STRAY,6,3,1,4,2
BLACK,MALE,3,OTHER,STRAY,40,0,1,4,2
OTHER,FEMALE,3,NORMAL,STRAY,14,2,0,3,2
WHITE,FEMALE,5,NORMAL,STRAY,30,4,0,3,2
BLACK,MALE,12,INJURED,STRAY,66,0,1,2,2
TABBY,FEMALE,3,NORMAL,OWNER SURRENDER,6,3,0,3,1
TABBY,MALE,5,NORMAL,STRAY,6,3,1,3,2
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,5,2,0,3,1
OTHER,MALE,4,NORMAL,STRAY,6,2,1,3,2
OTHER,MALE,12,NORMAL,STRAY,132,2,1,3,2
BLACK,MALE,8,NORMAL,STRAY,196,0,1,3,2
OTHER,MALE,5,NORMAL,OTHER,41,2,1,3,0
BLACK,FEMALE,3,ILL MILD,OWNER SURRENDER,32,0,0,0,1
TABBY,MALE,5,NORMAL,OWNER SURRENDER,18,3,1,3,1
GRAY,FEMALE,3,NORMAL,OWNER SURRENDER,45,1,0,3,1
BLACK,MALE,3,INJURED,STRAY,12,0,1,2,2
OTHER,FEMALE,3,NORMAL,STRAY,3,2,0,3,2
WHITE,MALE,2,UNDER WEIGHT,STRAY,7,4,1,5,2
BLACK,FEMALE,2,NORMAL,STRAY,4,0,0,3,2
BLACK,MALE,2,UNDER WEIGHT,STRAY,92,0,1,5,2
GRAY,MALE,3,NORMAL,STRAY,8,1,1,3,2
BLACK,MALE,2,NORMAL,STRAY,69,0,1,3,2
BLACK,FEMALE,2,UNDER WEIGHT,STRAY,104,0,0,5,2
BLACK,FEMALE,2,UNDER WEIGHT,STRAY,63,0,0,5,2
TABBY,FEMALE,2,OTHER,STRAY,17,3,0,4,2
GRAY,MALE,7,NORMAL,STRAY,50,1,1,3,2
OTHER,FEMALE,2,NORMAL,STRAY,158,2,0,3,2
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,43,2,0,3,1
TABBY,FEMALE,2,INJURED,STRAY,68,3,0,2,2
GRAY,FEMALE,2,NORMAL,STRAY,98,1,0,3,2
BLACK,FEMALE,2,NORMAL,STRAY,52,0,0,3,2
TABBY,MALE,2,NORMAL,STRAY,33,3,1,3,2
TABBY,MALE,2,NORMAL,STRAY,49,3,1,3,2
OTHER,MALE,2,NORMAL,STRAY,112,2,1,3,2
GRAY,FEMALE,2,UNDER WEIGHT,STRAY,77,1,0,5,2
TABBY,FEMALE,13,NORMAL,STRAY,249,3,0,3,2
GRAY,MALE,2,ILL SEVERE,STRAY,27,1,1,1,2
BLACK,MALE,2,OTHER,STRAY,46,0,1,4,2
TABBY,FEMALE,2,UNDER WEIGHT,STRAY,29,3,0,5,2
TABBY,FEMALE,2,NORMAL,STRAY,76,3,0,3,2
GRAY,MALE,2,UNDER WEIGHT,STRAY,39,1,1,5,2
TABBY,FEMALE,2,NORMAL,STRAY,71,3,0,3,2
TABBY,MALE,2,NORMAL,STRAY,6,3,1,3,2
GRAY,MALE,2,UNDER WEIGHT,STRAY,19,1,1,5,2
OTHER,MALE,3,NORMAL,STRAY,23,2,1,3,2
TABBY,FEMALE,2,NORMAL,STRAY,22,3,0,3,2
GRAY,MALE,2,NORMAL,STRAY,10,1,1,3,2
OTHER,FEMALE,3,ILL MILD,STRAY,31,2,0,0,2
TABBY,FEMALE,2,UNDER WEIGHT,STRAY,29,3,0,5,2
BLACK,FEMALE,3,NORMAL,STRAY,95,0,0,3,2
GRAY,MALE,2,NORMAL,STRAY,121,1,1,3,2
TABBY,FEMALE,2,NORMAL,STRAY,131,3,0,3,2
GRAY,MALE,2,NORMAL,STRAY,29,1,1,3,2
OTHER,FEMALE,9,NORMAL,OWNER SURRENDER,27,2,0,3,1
OTHER,MALE,2,NORMAL,STRAY,17,2,1,3,2
OTHER,FEMALE,5,NORMAL,STRAY,154,2,0,3,2
TABBY,MALE,4,OTHER,STRAY,85,3,1,4,2
OTHER,FEMALE,2,NORMAL,STRAY,1,2,0,3,2
OTHER,FEMALE,2,NORMAL,OTHER,62,2,0,3,0
TABBY,MALE,2,NORMAL,STRAY,184,3,1,3,2
GRAY,FEMALE,2,NORMAL,OTHER,32,1,0,3,0
OTHER,FEMALE,7,ILL MILD,OWNER SURRENDER,71,2,0,0,1
OTHER,FEMALE,7,NORMAL,STRAY,68,2,0,3,2
TABBY,FEMALE,9,NORMAL,STRAY,64,3,0,3,2
WHITE,MALE,2,OTHER,STRAY,59,4,1,4,2
BLACK,FEMALE,2,UNDER WEIGHT,STRAY,134,0,0,5,2
TABBY,FEMALE,2,UNDER WEIGHT,STRAY,18,3,0,5,2
BLACK,MALE,2,UNDER WEIGHT,STRAY,6,0,1,5,2
OTHER,FEMALE,2,NORMAL,STRAY,71,2,0,3,2
OTHER,MALE,2,UNDER WEIGHT,STRAY,23,2,1,5,2
TABBY,FEMALE,2,UNDER WEIGHT,OTHER,33,3,0,5,0
BLACK,FEMALE,4,NORMAL,STRAY,57,0,0,3,2
OTHER,FEMALE,2,NORMAL,STRAY,10,2,0,3,2
BLACK,MALE,2,ILL MILD,STRAY,11,0,1,0,2
OTHER,FEMALE,4,OTHER,OWNER SURRENDER,94,2,0,4,1
TABBY,MALE,9,OTHER,STRAY,59,3,1,4,2
TABBY,FEMALE,2,ILL MILD,STRAY,17,3,0,0,2
BLACK,FEMALE,2,NORMAL,STRAY,14,0,0,3,2
BLACK,FEMALE,2,NORMAL,STRAY,30,0,0,3,2
BLACK,MALE,2,ILL MILD,STRAY,36,0,1,0,2
GRAY,MALE,4,NORMAL,OWNER SURRENDER,47,1,1,3,1
GRAY,MALE,2,NORMAL,OWNER SURRENDER,53,1,1,3,1
TABBY,MALE,4,OTHER,STRAY,120,3,1,4,2
WHITE,MALE,7,INJURED,STRAY,113,4,1,2,2
OTHER,MALE,3,NORMAL,OWNER SURRENDER,9,2,1,3,1
TABBY,MALE,4,NORMAL,OWNER SURRENDER,64,3,1,3,1
OTHER,FEMALE,4,NORMAL,STRAY,45,2,0,3,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,67,0,1,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,17,2,0,5,2
WHITE,FEMALE,1,UNDER WEIGHT,STRAY,81,4,0,5,2
OTHER,MALE,1,UNDER WEIGHT,STRAY,28,2,1,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,63,3,1,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,49,2,0,5,2
WHITE,MALE,6,NORMAL,OWNER SURRENDER,55,4,1,3,1
OTHER,MALE,6,NORMAL,OWNER SURRENDER,53,2,1,3,1
TABBY,MALE,1,UNDER WEIGHT,STRAY,9,3,1,5,2
OTHER,MALE,8,NORMAL,OWNER SURRENDER,28,2,1,3,1
GRAY,FEMALE,4,NORMAL,OTHER,94,1,0,3,0
TABBY,MALE,1,UNDER WEIGHT,STRAY,53,3,1,5,2
TABBY,MALE,9,ILL MILD,STRAY,25,3,1,0,2
BLACK,MALE,5,NORMAL,OWNER SURRENDER,58,0,1,3,1
TABBY,MALE,1,NORMAL,STRAY,69,3,1,3,2
GRAY,MALE,1,UNDER WEIGHT,STRAY,118,1,1,5,2
OTHER,FEMALE,1,INJURED,STRAY,102,2,0,2,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,36,0,1,5,2
BLACK,MALE,7,NORMAL,OWNER SURRENDER,216,0,1,3,1
BLACK,MALE,1,ILL MILD,STRAY,20,0,1,0,2
OTHER,MALE,2,ILL MILD,STRAY,46,2,1,0,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,12,3,0,5,2
WHITE,FEMALE,1,UNDER WEIGHT,STRAY,46,4,0,5,2
WHITE,FEMALE,1,UNDER WEIGHT,STRAY,23,4,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,18,3,1,5,2
OTHER,FEMALE,1,OTHER,OTHER,13,2,0,4,0
TABBY,FEMALE,1,ILL MILD,STRAY,26,3,0,0,2
BLACK,FEMALE,1,NORMAL,STRAY,52,0,0,3,2
TABBY,FEMALE,1,NORMAL,STRAY,275,3,0,3,2
TABBY,MALE,1,NORMAL,STRAY,133,3,1,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,2,2,0,5,2
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,26,0,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,188,3,1,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,151,3,1,5,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,43,0,1,5,2
BLACK,MALE,1,NORMAL,OTHER,16,0,1,3,0
TABBY,MALE,1,UNDER WEIGHT,STRAY,37,3,1,5,2
WHITE,MALE,3,OTHER,STRAY,256,4,1,4,2
OTHER,FEMALE,4,OTHER,OWNER SURRENDER,20,2,0,4,1
OTHER,MALE,1,NORMAL,STRAY,216,2,1,3,2
TABBY,MALE,6,NORMAL,OWNER SURRENDER,127,3,1,3,1
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,63,3,0,5,2
OTHER,FEMALE,1,NORMAL,OWNER SURRENDER,24,2,0,3,1
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,28,1,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,75,2,0,5,2
TABBY,FEMALE,2,OTHER,STRAY,164,3,0,4,2
BLACK,MALE,1,OTHER,STRAY,20,0,1,4,2
BLACK,FEMALE,1,NORMAL,STRAY,11,0,0,3,2
WHITE,FEMALE,1,ILL MILD,STRAY,85,4,0,0,2
TABBY,FEMALE,3,NORMAL,STRAY,227,3,0,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,32,2,0,5,2
OTHER,FEMALE,2,NORMAL,STRAY,100,2,0,3,2
TABBY,FEMALE,1,NORMAL,STRAY,113,3,0,3,2
GRAY,MALE,1,NORMAL,OWNER SURRENDER,2,1,1,3,1
TABBY,MALE,1,ILL MILD,STRAY,53,3,1,0,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,3,3,0,5,2
TABBY,MALE,1,NORMAL,STRAY,70,3,1,3,2
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,17,2,0,3,1
BLACK,MALE,1,NORMAL,STRAY,12,0,1,3,2
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,99,0,0,5,2
BLACK,MALE,1,ILL MILD,STRAY,40,0,1,0,2
TABBY,MALE,1,OTHER,STRAY,28,3,1,4,2
OTHER,MALE,1,NORMAL,STRAY,7,2,1,3,2
GRAY,FEMALE,4,INJURED,STRAY,63,1,0,2,2
BLACK,MALE,1,NORMAL,OTHER,111,0,1,3,0
TABBY,MALE,5,NORMAL,OWNER SURRENDER,7,3,1,3,1
BLACK,FEMALE,1,ILL MILD,STRAY,10,0,0,0,2
TABBY,MALE,1,NORMAL,STRAY,21,3,1,3,2
TABBY,FEMALE,2,NORMAL,OTHER,16,3,0,3,0
TABBY,MALE,4,NORMAL,STRAY,78,3,1,3,2
WHITE,MALE,9,NORMAL,OWNER SURRENDER,6,4,1,3,1
BLACK,FEMALE,11,OTHER,OWNER SURRENDER,30,0,0,4,1
TABBY,FEMALE,2,INJURED,STRAY,13,3,0,2,2
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,47,3,0,5,2
OTHER,FEMALE,2,NORMAL,OWNER SURRENDER,120,2,0,3,1
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,85,0,0,3,1
WHITE,FEMALE,8,NORMAL,OTHER,9,4,0,3,0
TABBY,MALE,3,NORMAL,OWNER SURRENDER,38,3,1,3,1
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,38,2,0,3,1
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,97,3,0,5,2
GRAY,FEMALE,0,OTHER,STRAY,2,1,0,4,2
TABBY,MALE,0,NORMAL,STRAY,3,3,1,3,2
BLACK,FEMALE,0,NORMAL,STRAY,2,0,0,3,2
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,1,3,0,5,2
GRAY,FEMALE,0,UNDER WEIGHT,STRAY,40,1,0,5,2
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,39,4,0,5,2
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,17,0,0,5,2
