Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A685321,*SUSSEX,CAT,BLACK,,Neutered,2022-07-28,1.0,2022-09-28,NORMAL,STRAY,OTC,,2022-10-02,"7000 BLK E WILLOW ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A685654,*SCARLET WITCH,CAT,GRAY TABBY,WHITE,Spayed,2022-08-01,1.0,2022-10-01,ILL MILD,STRAY,OTC,,2022-10-16,"1400 BLK LEWIS AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A685896,SURI,CAT,TORTIE DIL,,Spayed,2022-08-04,1.0,2022-10-04,ILL SEVERE,STRAY,FIELD,,2022-11-10,"7500 BLK E SPRING ST, LB 90815",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A685992,*FRAN,CAT,SEAL,,Spayed,2020-10-06,3.0,2022-10-05,NORMAL,OWNER SURRENDER,FIELD,TOO MANY,2023-01-11,"2100 BLK W WILLARD ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A686299,*AMIN,CAT,L-C PT,,Spayed,2022-09-08,1.0,2022-10-08,UNDER AGE/WEIGHT,STRAY,OTC,,2022-10-29,"600 BLK SAINTJOSEPH AVE, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A686571,CLAWS,CAT,GRAY,WHITE,Spayed,2022-09-12,1.0,2022-10-26,NORMAL,RETURN,ADOPTION,TRAVEL,2022-10-28,"4300 BLK E PATERO WAY, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A686985,*BINX,CAT,BLACK,,Neutered,2022-07-16,1.0,2022-10-16,NORMAL,STRAY,OTC,,2023-01-18,"16800 BLK LEEWARD AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,,Alive on Intake,FALSE,1
A687125,*SUNNIE,CAT,BLACK,WHITE,Spayed,2022-09-19,1.0,2022-10-19,NORMAL,STRAY,OTC,,2023-02-09,"3700 BLK E SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A687150,*BROOMSTICK,CAT,GRAY,WHITE,Spayed,2022-09-20,1.0,2022-10-19,NORMAL,STRAY,OTC,,2022-10-22,"6200 BLK ORANGE AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A687219,*POPPY,CAT,CALICO TAB,,Spayed,2022-09-20,1.0,2022-10-20,NORMAL,STRAY,OTC,,2022-10-22,"500 BLK E. POPPY ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A687308,KOLOA,CAT,ORANGE,WHITE,Neutered,2022-09-22,1.0,2022-10-22,UNDER AGE/WEIGHT,STRAY,OTC,,2022-10-28,"100 BLK W HARCOURT ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A687456,*WILBUR,CAT,CREAM,WHITE,Neutered,2020-10-26,3.0,2022-10-26,NORMAL,STRAY,OTC,,2023-02-09,"3700 BLK SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A687872,PIZZA,CAT,WHITE,ORG TABBY,Spayed,2022-10-30,1.0,2022-11-03,UNDER AGE/WEIGHT,STRAY,OTC,,2022-12-14,"1600 BLK E ARTESIA BLVD LB, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A688034,*RADLEY,CAT,BLACK,,Neutered,2022-09-04,1.0,2022-11-04,ILL MILD,STRAY,OTC,,2022-12-16,"50 BLK W. MARKET ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A688883,*CHOWDER,CAT,WHITE,GRAY,Neutered,2022-10-21,1.0,2022-11-17,ILL MILD,STRAY,FIELD,,2022-12-16,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A689251,*CHOCOLATE,CAT,BLACK,WHITE,Spayed,2020-11-26,2.0,2022-11-22,NORMAL,OWNER SURRENDER,FIELD,TOO MANY,2023-07-24,"2100 BLK W WILLARD ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A690797,*SHERLOCK,CAT,GRAY,WHITE,Neutered,2022-11-21,0.0,2022-12-21,FRACTIOUS,STRAY,OTC,,2022-12-21,"900 BLK E VERNON ST, SIGNAL HILL, CA 90755",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A691817,*TUFFY,CAT,GRAY TABBY,,Neutered,2022-09-13,1.0,2023-01-13,NORMAL,STRAY,FIELD,,2023-01-18,800 BLK ALOMITOS AVE,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A692287,*LUNA,CAT,ORANGE,,Spayed,2018-01-22,5.0,2023-01-22,INJURED  MODERATE,STRAY,OTC,,2023-01-28,1100 BLK ST.LOUIS AVE,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A693420,*LOU,CAT,GRAY TABBY,,Neutered,2022-02-18,1.0,2023-02-15,INJURED  MILD,STRAY,OTC,,2023-03-19,"13700 BLK ALDERTON LN, CERRITOS, CA 90703",CERRITOS,ADOPTION,WEB,Alive on Intake,FALSE,1
A693652,*CALI,CAT,CALICO,,Spayed,2023-02-03,0.0,2023-02-18,UNDER AGE/WEIGHT,STRAY,ABAN FIELD,,2023-07-07,"1400 BLK PETERSON VE, LONG BEACH CA, 90813",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A694233,*PURRCILLA,CAT,BROWN,,Spayed,2022-09-05,1.0,2023-03-05,ILL SEVERE,STRAY,FIELD,,2023-07-28,1100 BLK E 11TH ST,LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A694565,*ROCKY,CAT,BRN TABBY,,Neutered,2022-03-17,1.0,2023-03-11,ILL MILD,STRAY,OTC,,2023-03-17,"400 BLK W OCEAN BLVD, LONG BEACH CA, 90802",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A695116,*WINDY,CAT,BLACK,WHITE,Spayed,,,2023-03-22,NORMAL,STRAY,OTC,,2023-03-25,"3700 BLK PACIFIC AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A695628,*TINKER BERRY,CAT,CALICO,,Spayed,2015-04-08,8.0,2023-03-29,NORMAL,OWNER SURRENDER,FIELD,,2023-04-19,1400 BLK CORONADO,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A696259,*CRAYON,CAT,BLACK,,Neutered,2020-04-06,3.0,2023-04-06,ILL SEVERE,STRAY,FIELD,,2023-06-09,2200 BLK MYRTLE AVE,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A696532,*JAY,CAT,BRN TABBY,WHITE,Neutered,2021-04-11,2.0,2023-04-11,INJURED  SEVERE,STRAY,FIELD,,2023-09-15,"1900 BLK DAISY AVE, LB 90806",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A696570,LOULOU,CAT,BLACK,,Spayed,2022-04-12,1.0,2023-04-12,ILL MILD,STRAY,OTC,,2023-04-16,"10TH/WALNUT, LB CA 90813",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A696750,WILLIE,CAT,CREAM,WHITE,Neutered,2023-03-22,0.0,2023-04-14,ILL MILD,STRAY,FIELD,,2023-05-13,"4200 BLK E 15TH ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A696807,*VIOLA,CAT,BRN TABBY,,Spayed,2021-12-28,1.0,2023-04-14,ILL MODERATETE,STRAY,FIELD,,2023-07-08,"600 BLK W PACIFIC COAST HWY, LONG BEACH CA, 90813",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A696998,TARA,CAT,GRAY,,Neutered,2023-03-19,0.0,2023-04-19,UNDER AGE/WEIGHT,STRAY,OTC,,2023-05-06,2200 BLK CAMERON ST LB 90810,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A697060,*GEORGE,CAT,ORANGE,,Neutered,2023-03-20,0.0,2023-04-20,UNDER AGE/WEIGHT,STRAY,OTC,,2023-04-29,400 BLK POPPY ST LB 90805,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A697064,COSMO,CAT,BLACK,WHITE,Spayed,2023-03-20,0.0,2023-04-20,NORMAL,STRAY,OTC,,2023-04-29,2300 BLK LINDEN AVE LB 90806,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A697262,BLAZE,CAT,GRAY,WHITE,Neutered,2023-03-22,0.0,2023-04-20,FRACTIOUS,STRAY,OTC,,2023-05-21,"700 BLOCK ELM AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A697463,*ZENA,CAT,BRN TABBY,,Spayed,2015-04-26,8.0,2023-04-26,NORMAL,WELFARE SEIZED,ABAN FIELD,,2023-06-10,"10700 SOUTH ST, CERRITOS, CA 90703",CERRITOS,ADOPTION,WEB,Alive on Intake,FALSE,1
A697500,FLUFFY BEAR,CAT,GRAY,BLACK,Spayed,2023-04-03,0.0,2023-04-26,NORMAL,STRAY,OTC,,2023-04-29,1000 N NORMAN CT LB 90813,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A697698,LENNY,CAT,BLACK,WHITE,Neutered,2023-03-28,0.0,2023-04-28,UNDER AGE/WEIGHT,STRAY,OTC,,2023-05-20,1100 BLK DAWSON AVE LB 90804,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A697816,*LEFTY,CAT,ORANGE,WHITE,Neutered,2020-04-29,3.0,2023-04-29,INJURED  MODERATE,STRAY,FIELD,,2023-08-05,6500 BLK GAVIOTA AVE,LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A697911,*PRINCESS LILLY,CAT,BLACK,,Spayed,2023-03-30,0.0,2023-04-30,UNDER AGE/WEIGHT,STRAY,OTC,,2023-10-25,"100 BLOCK E 7TH ST, LONG BEACH CA",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A698161,JACK,CAT,BLUE PT,,Neutered,2023-03-22,0.0,2023-05-04,NORMAL,WELFARE SEIZED,EVICTION,,2023-05-18,"5300 BLK E OCEAN BLVD, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A698431,*ROCKET,CAT,BLACK,,Spayed,2023-04-07,0.0,2023-05-07,NORMAL,STRAY,OTC,,2023-08-30,2300 BLK SPAULDING ST LB 90804,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A699070,BOBA,CAT,BRN TABBY,,Spayed,2023-02-02,0.0,2023-05-19,ILL MILD,STRAY,OTC,,2023-07-23,1300 BLK OBISPO AVE LB 90804,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A699276,CHARLIE,CAT,WHITE,TAN,Neutered,2023-03-30,0.0,2023-05-24,ILL MILD,STRAY,OTC,,2023-05-26,100 BLK BARCLAY ST LB 90805,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A699373,*FLO,CAT,WHITE,,Spayed,2022-06-25,1.0,2023-05-25,NORMAL,STRAY,OTC,,2023-06-28,7400 BLK CARSON BLVD LB 90808,LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A699615,*ORVILLE,CAT,BLACK,,Neutered,2023-04-09,0.0,2023-05-27,ILL MILD,STRAY,OTC,,2023-10-05,2300 BLK E 19TH ST SH 90755,SIGNAL HILL,ADOPTION,WEB,Alive on Intake,FALSE,1
A699902,*LUCA,CAT,BLACK,,Neutered,2023-01-16,0.0,2023-06-01,ILL MILD,STRAY,OTC,,2023-07-08,2200 BLK FLORIDA ST LONG BEACH 90814,LONG BEACH,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A700333,*CITRUS,CAT,ORG TABBY,,Neutered,2023-05-07,0.0,2023-06-07,UNDER AGE/WEIGHT,STRAY,OTC,,2023-10-16,"9300 BLK MOODY ST, CYPRESS, CA 90630",ORANGE CNTY,ADOPTION,,Alive on Intake,FALSE,1
A700685,*CHARLIE,CAT,BLACK,,Neutered,2023-04-09,0.0,2023-06-11,ILL MILD,STRAY,OTC,,2023-10-05,"3000 BLK N GOLD STAR DR, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A700865,*REGGIE,CAT,BLACK,WHITE,Neutered,2023-04-30,0.0,2023-06-15,UNDER AGE/WEIGHT,STRAY,OTC,,2023-09-06,700 BLK W 3RD STREET LONG BEACH 90802,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A701238,*LOGAN,CAT,GRAY,WHITE,Neutered,2023-05-02,0.0,2023-06-20,UNDER AGE/WEIGHT,STRAY,OTC,,2023-08-26,11000 BLK DAVENPORT ROAD,LOS ALAMITOS,ADOPTION,WEB,Alive on Intake,FALSE,1
A701574,*TURNER,CAT,WHITE,RED,Neutered,2021-06-24,2.0,2023-06-24,INJURED  MILD,STRAY,OTC,,2023-09-01,1300 BLK W SPRING STREET LONG BEACH CA 90810,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A701636,*FETTUCCINE,CAT,BLACK,WHITE,Neutered,2023-05-01,0.0,2023-06-25,ILL MILD,STRAY,OTC,,2023-10-07,2100 BLK N OLIVE AVE LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A702211,*PEPPERONI,CAT,BLACK,WHITE,Neutered,2023-06-17,0.0,2023-07-02,UNDER AGE/WEIGHT,STRAY,OTC,,2023-10-18,1300 BLK WESLEY DRIVE LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A702393,*CLEO,CAT,BLACK,WHITE,Spayed,2023-05-31,0.0,2023-07-06,I/I REPORT,STRAY,OTC,,2023-10-07,MOTHERS BEACH-5800 BLOCK APPIAN WAY,LONG BEACH,ADOPTION,PETSUP+,Alive on Intake,FALSE,1
A702799,*MR. SAXOBEAT,CAT,BLACK,,Neutered,2023-03-13,0.0,2023-07-13,NORMAL,STRAY,ABAN FIELD,,2023-10-25,"6900 BLK E MEZZANINE WAY LONG BEACH, CA 90808",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A702950,*WILLA,CAT,BLACK,,Spayed,2020-07-15,3.0,2023-07-15,FRACTIOUS,STRAY,OTC,,2023-10-05,3200 BLK LILLYAVE,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A703220,*BOBA,CAT,WHITE,BLACK,Neutered,2023-03-22,0.0,2023-07-20,ILL MODERATETE,STRAY,OTC,,2023-10-15,5500 BLK ACKERFIELD,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A703403,*SOOT,CAT,BLACK,,Spayed,2022-07-22,1.0,2023-07-22,NORMAL,STRAY,FIELD,,2023-08-23,1100 E 17TH ST,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A706105,*DUMPLING,CAT,WHITE,GRAY,Spayed,2023-04-02,0.0,2023-09-02,NORMAL,STRAY,OTC,,2023-10-18,2900 BLK PALO VERDE AVE LONG BEACH CA 90808,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A708253,*CHARDONNAY,CAT,TORTIE,,Spayed,2023-09-07,0.0,2023-10-05,UNDER AGE/WEIGHT,STRAY,OTC,,2023-11-08,800 BLK VIA WANDA LONG BEACH CA 90805,LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A439737,MAX,CAT,ORANGE,,Neutered,2011-02-15,12.0,2019-03-09,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2019-05-14,"900 BLK OHIO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A498980,KOBE,CAT,BLACK,GRAY,Neutered,2012-08-14,11.0,2019-03-09,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2019-05-14,"900 BLK OHIO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A534528,SAMMI,CAT,SEAL PT,,Spayed,2009-03-31,14.0,2017-03-31,NORMAL,OWNER SURRENDER,OTC,OWNER DIED,2017-05-19,"1400 BLK CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A550705,MEW TWO,CAT,BRN TABBY,,Spayed,2015-03-02,8.0,2021-09-21,NORMAL,STRAY,OTC,,2021-10-28,"800 BLK OBISPO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A570305,CHICO,CAT,GRAY TABBY,,Neutered,2015-10-18,8.0,2021-03-25,NORMAL,OWNER SURRENDER,OTC,,2021-06-03,"490 BLK E PLATT ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A570754,SHILO,CAT,GRAY,,Neutered,2015-12-22,7.0,2022-01-20,WELFARE SEIZURES,CONFISCATE,OWNER DIED,,2022-02-03,"4500 BLK N BANNER DR, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A584190,*FRED,CAT,BLACK,WHITE,Male,2016-10-06,7.0,2017-01-06,NORMAL,STRAY,OTC,,2017-01-22,"5800 BLK E OAKBROOK ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A584191,,CAT,WHITE,BLACK,Female,2016-10-06,7.0,2017-01-06,NORMAL,STRAY,OTC,,2017-01-12,"5800 BLK E OAKBROOK ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A585458,*FLANEL,CAT,BRN TABBY,WHITE,Neutered,2014-02-05,9.0,2017-02-05,NORMAL,STRAY,OTC,,2017-02-12,"MAINE AVE / 28TH ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A585468,LAVENDER,CAT,GRAY,,Spayed,2010-02-05,13.0,2017-02-05,NORMAL,OWNER SURRENDER,OTC,HOUSE SOIL,2017-04-14,"6300 BLK E MARIQUITA ST, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A585548,LUCRISHA,CAT,BLACK,WHITE,Spayed,2016-02-08,7.0,2017-02-08,NORMAL,OWNER SURRENDER,OTC,MOVE,2017-07-13,"2500 E 10TH ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A585782,*CATRINA,CAT,GRAY,WHITE,Spayed,2015-02-15,8.0,2017-02-15,NORMAL,STRAY,OTC,,2017-02-25,"1200 MOLINO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A586204,CHRISTOPHER,CAT,LC LYNX PT,,Neutered,2013-02-23,10.0,2017-02-23,NORMAL,OWNER SURRENDER,OTC,TOO MANY,2017-05-20,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A586448,GOLDIE,CAT,ORG TABBY,,Neutered,2014-03-02,9.0,2018-03-24,NORMAL,OWNER SURRENDER,OTC,,2018-06-20,"2900 BLK E 15TH ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A586722,*RAISIN,CAT,ORG TABBY,,Male,2009-03-07,14.0,2017-03-07,ILL MODERATETE,STRAY,FIELD,,2017-04-28,"2200 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SOCIAL MED,Alive on Intake,FALSE,1
A586785,,CAT,BRN TABBY,,Male,2016-07-08,7.0,2017-03-08,NORMAL,STRAY,FIELD,,2017-03-19,"2900 BLK E 64TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A586953,*JUNE BUG,CAT,CALICO,WHITE,Female,2013-03-11,10.0,2017-03-11,NORMAL,OWNER SURRENDER,FIELD,,2017-04-30,"700 BLK ELM AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A586969,*SIMON,CAT,WHITE,GRAY,Neutered,2016-03-11,7.0,2017-03-11,NORMAL,STRAY,OTC,,2017-07-05,"1100 MAGNOLIA AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A587074,*CHEETO,CAT,ORG TABBY,,Neutered,2013-03-15,10.0,2017-03-15,NORMAL,STRAY,OTC,,2017-05-19,"1600 E 6TH ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A587138,*MAXWELL,CAT,ORG TABBY,WHITE,Neutered,2010-03-16,13.0,2017-03-16,NORMAL,STRAY,OTC,,2017-04-30,"SHOEMAKER AVE / ESPINHEIRA DR, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A588520,THEO,CAT,ORANGE,,Male,2014-04-13,9.0,2017-04-13,NORMAL,CONFISCATE,POLICE,,2017-05-01,"1400 BLK E ANAHEIM ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A588893,*DREAMER,CAT,BRN TABBY,,Spayed,2016-04-20,7.0,2017-04-20,NORMAL,STRAY,OTC,,2017-04-30,"2000 E 57TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A589611,KITTY,CAT,TORTIE,,Spayed,2007-05-03,16.0,2017-05-03,NORMAL,OWNER SURRENDER,OTC,MOVE,2017-07-05,"400 SAINT LOUIS AVE, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A589683,*HUEY,CAT,BLACK,WHITE,Neutered,2016-12-04,6.0,2017-05-04,NORMAL,STRAY,OTC,,2017-07-19,"710 FWY / LONG BEACH BLVD, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A589767,,CAT,BRN TABBY,,Male,2017-03-11,6.0,2017-05-05,NORMAL,STRAY,FIELD,,2017-05-15,"1100 BLK HOFFMAN AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A590453,FOXY,CAT,ORG TABBY,,Neutered,2010-05-18,13.0,2017-05-18,NORMAL,OWNER SURRENDER,OTC,NO HOME,2017-06-10,"1700 BLK OBISPO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A590673,,CAT,GRAY TABBY,,Male,2017-03-23,6.0,2017-05-23,FERAL,STRAY,FIELD,,2017-06-01,"900 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A590796,*COVINA,CAT,BLACK,WHITE,Female,2017-03-25,6.0,2017-05-25,NORMAL,STRAY,OTC,,2017-06-08,"1400 W 24TH ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A590966,*SMUDGE,CAT,ORG TABBY,,Male,2017-02-28,6.0,2017-05-28,NORMAL,STRAY,OTC,,2017-06-08,"2000 AMELIA CT, SIGNAL HILL, CA 90755",SIGNAL HILL,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A590984,*DAPHNE,CAT,WHITE,,Spayed,2015-05-28,8.0,2017-05-28,NORMAL,STRAY,OTC,,2017-06-10,"1300 MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591080,*BRIE,CAT,BRN TABBY,,Spayed,2017-03-31,6.0,2017-05-31,FERAL,STRAY,OTC,,2017-06-10,"10000 BLK OAK ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591081,*GOUDA,CAT,BRN TABBY,,Spayed,2017-03-31,6.0,2017-05-31,FERAL,STRAY,OTC,,2017-06-10,"10000 BLK OAK ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591731,,CAT,BRN TABBY,,Male,2016-06-11,7.0,2017-06-11,NORMAL,STRAY,OTC,,2017-06-23,"500 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591861,DAYSI,CAT,BRN TABBY,WHITE,Spayed,2016-06-14,7.0,2017-06-14,NORMAL,OWNER SURRENDER,OTC,LANDLORD,2017-06-20,"3700 E 17TH ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A591976,,CAT,BRN TABBY,,Female,2017-04-16,6.0,2017-06-16,NORMAL,STRAY,OTC,,2017-07-09,"1500 BLK JUNIPERO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A592236,*BIG BOY,CAT,ORG TABBY,WHITE,Male,2011-06-21,12.0,2017-06-21,FERAL,STRAY,OTC,,2017-08-22,"SEASIDE WAY / LINDEN AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A592766,CAL-LEE,CAT,CALICO,,Spayed,2016-06-01,7.0,2021-03-06,NORMAL,STRAY,OTC,,2021-03-24,"2000 BLK LONG BEACH BLVD. LONG BEACH, CA 90806",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A592934,*ZELDA,CAT,CALICO,,Female,2017-04-29,6.0,2017-07-05,NORMAL,STRAY,OTC,,2017-07-20,"LONG BEACH BLVD / 68TH ST, LOLNG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A592935,*INDIE,CAT,BRN TABBY,,Spayed,2017-04-05,6.0,2017-07-05,FERAL,STRAY,OTC,,2017-09-12,"LIME AVE / E WARDLOW RD, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A592969,*LIL BOW WOW,CAT,GRAY TABBY,,Neutered,2017-05-06,6.0,2017-07-30,FERAL,STRAY,FIELD,,2017-08-20,"5900 BLK ROSE AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A593070,*PUMPERNICKEL,CAT,ORG TABBY,WHITE,Male,2017-04-22,6.0,2017-07-07,NORMAL,STRAY,OTC,,2017-07-25,"1400 BLK COTA AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
